,0
threshold,0.6673009306192398
horizon,12
round_trip_cost,0.003
trade_count,76
win_rate,0.4342105263157895
gross_return_mean,0.003605065333205467
net_return_mean,0.0006050653332054656
gross_return_median,0.0005399459044851396
net_return_median,-0.0024600540955148605
total_return,0.026930828795255213
max_drawdown,-0.1572346657299888
per_trade_sharpe,0.026326525307216714
trades_per_year,88.97313419547265
bar_annualized_sharpe,2.8374083629385605
sharpe,0.24832645425254593
avg_pred_prob,0.6769247227593472
positive_label_rate,0.4342105263157895
selected_by,validation_net_return_mean
selected_quantile,0.95
