epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,401.6917015314102,0.5776971109886646,0.5685872188608732,0.3672744333744049,0.5171943306922913
2,396.9381071925163,0.5932791049581141,0.5705432133528414,0.3638443052768707,0.5166114568710327
3,394.6743868589401,0.604219819986598,0.5660282030881645,0.355570912361145,0.5745624899864197
4,391.9123584032059,0.621544676471474,0.5625107934837491,0.3583991527557373,0.6837703585624695
5,388.53240048885345,0.6449181846882024,0.5548587726988123,0.3552286624908447,0.7234341502189636
6,383.2981057167053,0.6691756433667171,0.5474257446300994,0.3585648238658905,0.7756755948066711
7,376.3760960698128,0.6907857310237504,0.5360820991834007,0.3606454133987427,0.9177453517913818
8,366.6775788664818,0.7155077823591834,0.5292203133406361,0.3561873137950897,0.9703072309494019
9,355.4482672214508,0.7416420648861264,0.5235472667227463,0.387155681848526,0.9921981692314148
10,340.8382806479931,0.7740159260712193,0.5064878227557614,0.3629956841468811,0.993563175201416
11,326.59358763694763,0.796329165941339,0.5092143432674743,0.3880051374435425,0.9992554783821106
12,309.7606928348541,0.8188172453889069,0.4958285242718545,0.35819780826568604,0.9990381002426147
