prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.29322022,0.9438423645320198,0.000386987489382109,-0.0005561735261401246
1,1015,0.3237797,0.9221674876847291,0.00043284063992748403,-0.0005743825387707346
2,1015,0.34173402,0.9270935960591133,9.019330425524048e-05,-0.0006115139337816711
3,1014,0.35600045,0.9437869822485208,4.151493374656692e-05,-0.0006720797390090683
4,1015,0.36831856,0.8896551724137931,0.0005565208501275125,-0.0010780702542448894
5,1015,0.38014567,0.9802955665024631,0.0018974597089149547,-0.0003007971123476505
6,1014,0.39168802,0.9418145956607495,0.00119751782705782,-0.0006055195216032594
7,1015,0.4029444,0.9073891625615763,0.0004087692444974249,-0.0015693400512100109
8,1015,0.41619858,0.9763546798029556,0.00172730561268624,-0.00029848518767250365
9,1015,0.43885025,0.9152709359605912,-7.808667317035945e-05,-0.0012066695919262793
