,equity
2020-08-14 14:25:00,1000000.0
2020-08-14 14:30:00,1000000.0
2020-08-14 14:35:00,1000000.0
2020-08-14 14:40:00,1000000.0
2020-08-14 14:45:00,1000000.0
2020-08-14 14:50:00,1000000.0
2020-08-14 14:55:00,1000000.0
2020-08-14 15:00:00,1000000.0
2020-08-17 09:35:00,1000000.0
2020-08-17 09:40:00,1000000.0
2020-08-17 09:45:00,1000000.0
2020-08-17 09:50:00,1000000.0
2020-08-17 09:55:00,1000000.0
2020-08-17 10:00:00,1000000.0
2020-08-17 10:05:00,1000000.0
2020-08-17 10:10:00,1000000.0
2020-08-17 10:15:00,1000000.0
2020-08-17 10:20:00,1000000.0
2020-08-17 10:25:00,1000000.0
2020-08-17 10:30:00,1000000.0
2020-08-17 10:35:00,1000000.0
2020-08-17 10:40:00,1000000.0
2020-08-17 10:45:00,1000000.0
2020-08-17 10:50:00,1000000.0
2020-08-17 10:55:00,1000000.0
2020-08-17 11:00:00,1000000.0
2020-08-17 11:05:00,1000000.0
2020-08-17 11:10:00,1000000.0
2020-08-17 11:15:00,1000000.0
2020-08-17 11:20:00,1000000.0
2020-08-17 11:25:00,1000000.0
2020-08-17 11:30:00,1000000.0
2020-08-17 13:05:00,1000000.0
2020-08-17 13:10:00,1000000.0
2020-08-17 13:15:00,1000000.0
2020-08-17 13:20:00,1000000.0
2020-08-17 13:25:00,1000000.0
2020-08-17 13:30:00,1000000.0
2020-08-17 13:35:00,1000000.0
2020-08-17 13:40:00,1000000.0
2020-08-17 13:45:00,1000000.0
2020-08-17 13:50:00,1000000.0
2020-08-17 13:55:00,1000000.0
2020-08-17 14:00:00,1000000.0
2020-08-17 14:05:00,1000000.0
2020-08-17 14:10:00,1000000.0
2020-08-17 14:15:00,1000000.0
2020-08-17 14:20:00,1000000.0
2020-08-17 14:25:00,1000000.0
2020-08-17 14:30:00,1000000.0
2020-08-17 14:35:00,1000000.0
2020-08-17 14:40:00,1000000.0
2020-08-17 14:45:00,1000000.0
2020-08-17 14:50:00,1000000.0
2020-08-17 14:55:00,1000000.0
2020-08-17 15:00:00,1000000.0
2020-08-18 09:35:00,1000000.0
2020-08-18 09:40:00,1000000.0
2020-08-18 09:45:00,1000000.0
2020-08-18 09:50:00,1000000.0
2020-08-18 09:55:00,1000000.0
2020-08-18 10:00:00,1000000.0
2020-08-18 10:05:00,1000000.0
2020-08-18 10:10:00,1000000.0
2020-08-18 10:15:00,1000000.0
2020-08-18 10:20:00,1000000.0
2020-08-18 10:25:00,1000000.0
2020-08-18 10:30:00,1000000.0
2020-08-18 10:35:00,1000000.0
2020-08-18 10:40:00,1000000.0
2020-08-18 10:45:00,1000000.0
2020-08-18 10:50:00,1000000.0
2020-08-18 10:55:00,1000000.0
2020-08-18 11:00:00,1000000.0
2020-08-18 11:05:00,1000000.0
2020-08-18 11:10:00,1000000.0
2020-08-18 11:15:00,1000000.0
2020-08-18 11:20:00,1000000.0
2020-08-18 11:25:00,1000000.0
2020-08-18 11:30:00,1000000.0
2020-08-18 13:05:00,1000000.0
2020-08-18 13:10:00,1000000.0
2020-08-18 13:15:00,1000000.0
2020-08-18 13:20:00,1000000.0
2020-08-18 13:25:00,1000000.0
2020-08-18 13:30:00,1000000.0
2020-08-18 13:35:00,1000000.0
2020-08-18 13:40:00,1000000.0
2020-08-18 13:45:00,1000000.0
2020-08-18 13:50:00,1000000.0
2020-08-18 13:55:00,1000000.0
2020-08-18 14:00:00,1000000.0
2020-08-18 14:05:00,1000000.0
2020-08-18 14:10:00,1000000.0
2020-08-18 14:15:00,1000000.0
2020-08-18 14:20:00,1000000.0
2020-08-18 14:25:00,1000000.0
2020-08-18 14:30:00,1000000.0
2020-08-18 14:35:00,1000000.0
2020-08-18 14:40:00,1000000.0
2020-08-18 14:45:00,1000000.0
2020-08-18 14:50:00,1000000.0
2020-08-18 14:55:00,1000000.0
2020-08-18 15:00:00,1000000.0
2020-08-19 09:35:00,1000000.0
2020-08-19 09:40:00,1000000.0
2020-08-19 09:45:00,1000000.0
2020-08-19 09:50:00,1000000.0
2020-08-19 09:55:00,1000000.0
2020-08-19 10:00:00,1000000.0
2020-08-19 10:05:00,1000000.0
2020-08-19 10:10:00,1000000.0
2020-08-19 10:15:00,1000000.0
2020-08-19 10:20:00,1000000.0
2020-08-19 10:25:00,1000000.0
2020-08-19 10:30:00,1000000.0
2020-08-19 10:35:00,1000000.0
2020-08-19 10:40:00,1000000.0
2020-08-19 10:45:00,1000000.0
2020-08-19 10:50:00,1000000.0
2020-08-19 10:55:00,1000000.0
2020-08-19 11:00:00,1000000.0
2020-08-19 11:05:00,1000000.0
2020-08-19 11:10:00,1000000.0
2020-08-19 11:15:00,1000000.0
2020-08-19 11:20:00,1000000.0
2020-08-19 11:25:00,1000000.0
2020-08-19 11:30:00,1000000.0
2020-08-19 13:05:00,1000000.0
2020-08-19 13:10:00,1000000.0
2020-08-19 13:15:00,1000000.0
2020-08-19 13:20:00,1000000.0
2020-08-19 13:25:00,1000000.0
2020-08-19 13:30:00,1000000.0
2020-08-19 13:35:00,1000000.0
2020-08-19 13:40:00,1000000.0
2020-08-19 13:45:00,1000000.0
2020-08-19 13:50:00,1000000.0
2020-08-19 13:55:00,1000000.0
2020-08-19 14:00:00,1000000.0
2020-08-19 14:05:00,1000000.0
2020-08-19 14:10:00,1000000.0
2020-08-19 14:15:00,1000000.0
2020-08-19 14:20:00,1000000.0
2020-08-19 14:25:00,1000000.0
2020-08-19 14:30:00,1000000.0
2020-08-19 14:35:00,1000000.0
2020-08-19 14:40:00,1000000.0
2020-08-19 14:45:00,1000000.0
