,0
threshold,0.48984990715980525
horizon,6
round_trip_cost,0.003
trade_count,118
win_rate,0.3305084745762712
gross_return_mean,-0.000694231567995579
net_return_mean,-0.0036942315679955803
gross_return_median,-0.0009050347335544107
net_return_median,-0.0039050347335544107
total_return,-0.3604903521088956
max_drawdown,-0.38966811183018335
per_trade_sharpe,-0.27885692701203196
trades_per_year,141.33879893420783
bar_annualized_sharpe,-30.054516026480425
sharpe,-3.315218333165712
avg_pred_prob,0.5087320218651982
positive_label_rate,0.5254237288135594
buy_label_rate,0.4067796610169492
selected_by,validation_net_return_mean
selected_quantile,0.95
