prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1013,0.28089338755812276,0.11154985192497532,0.0001445979411474494,-0.00022261798753353546
1,1012,0.389228513320958,0.13339920948616601,-3.2543138576466886e-06,-0.00030063699681343037
2,1012,0.44805061926675943,0.13142292490118576,-0.00010493002546273952,-0.00036313947234883903
3,1013,0.4919890970055708,0.18065153010858837,0.00010530478792092708,-0.0002513615416841475
4,1012,0.5284476698951986,0.20553359683794467,-8.65170684659724e-05,-0.0005634082541015051
5,1012,0.5601050212046051,0.2549407114624506,0.00024931102146738603,-0.00016028235170595373
6,1013,0.5904084745905753,0.28035538005923,0.0003596964515660948,-0.00023243201363598587
7,1012,0.6221058559802431,0.3092885375494071,0.00034440575888570676,-0.00023907067456813147
8,1012,0.6504984472741748,0.3181818181818182,0.00044612338169404436,-0.00041617518821640553
9,1013,0.6908658724890442,0.3721618953603159,0.0004396220247818375,-0.00044943820224718767
