,0
threshold,0.581775420072594
horizon,3
round_trip_cost,0.003
trade_count,209
win_rate,0.2631578947368421
gross_return_mean,0.00031271042288609794
net_return_mean,-0.0026872895771139025
gross_return_median,-0.00011431184270693784
net_return_median,-0.003114311842706938
total_return,-0.4339650546386613
max_drawdown,-0.4350918526901135
per_trade_sharpe,-0.3344327269260587
trades_per_year,250.291764384435
bar_annualized_sharpe,-36.04433950728109
sharpe,-5.290930416285919
avg_pred_prob,0.5933823008454722
positive_label_rate,0.3062200956937799
buy_label_rate,0.0
selected_by,fixed_validation_buy_probability_quantile
selected_quantile,0.95
