feature,importance
parkinson_vol_5,0.028674824670428103
range_mean_5,0.02307436667828082
range_mean_10,0.021505294718587645
vol_10,0.020778515603316318
parkinson_vol_10,0.020683686558853616
range_mean_48,0.020118920246719612
bar_in_day_pct,0.019017987941741775
bar_in_day,0.01776355276228409
parkinson_vol_48,0.015329580465969758
parkinson_vol_20,0.015180950691654227
range_vol_10,0.014675227040666608
range_mean_20,0.014137721067268322
vol_48,0.013696328851918045
bar_range,0.013227008282202513
vol_5,0.013094844578749315
vol_20,0.012022155705080405
range_vol_5,0.011022767487426265
range_vol_20,0.010800628554006863
volume_ratio_48,0.008835416941196697
vwap_roll_dev_10,0.008734701002867183
amount_ratio_48,0.008464358603692329
vwap_roll_dev_20,0.008317162017464845
log_amount_ratio_48,0.007963917334887037
log_volume_ratio_48,0.007913193666759381
ret_amount_sum_20,0.007883493095821113
range_vol_48,0.007575615206721638
ma_dev_20,0.007439075166110699
signed_volume,0.007329056027956997
vwap_roll_slope_48,0.007032404354826031
vwap_spread_48_day,0.0069358562292173775
range_per_volume_48,0.006863390984462061
vwap_cum_slope_6,0.006610512028569284
amihud_48,0.006280324409850049
vol_zscore_20_48,0.006256389882028997
vwap_roll_slope_20,0.006233372360408557
ma_dev_48,0.0062158186492599354
vwap_cum_slope_3,0.006198495903665058
intraday_range_position,0.006195348192664376
ret_volume_sum_20,0.006181010984834858
log_volume_ratio_20,0.0061682209073836225
log_ret_20,0.0057676306290825406
signed_amount,0.00571524611369246
amihud_20,0.005707988645305868
ma_gap_10_48,0.005698984601467744
ma_slope_20,0.005611164292699872
amount_ratio_20,0.005588961479840058
amihud_10,0.005575361622097522
ma_dev_10,0.005514431269457798
range_per_volume_10,0.005470338795757106
volume_same_bar_ratio,0.005436202400812974
ma_gap_5_20,0.0054131388307315925
log_volume_same_bar_ratio,0.005412110317316752
volume_ratio_20,0.005407871682397947
ret_20,0.005363006129641785
range_per_volume,0.005302274608126074
amount_same_bar_ratio,0.0051231965129189035
range_per_volume_20,0.005100822893275562
down_amount_ratio_mean_20,0.005061464357191086
ret_volume_sum_5,0.005048829020961237
log_ret_48,0.0049243361129642695
signed_volume_sum_48,0.004910201778651041
log_amount_ratio_20,0.004903427566302172
mom_10_48,0.004864825248981502
adl_roll_norm_48,0.0048533332740688705
vol_zscore_10_48,0.0048302825650238905
ret_volume_sum_10,0.0046676271397705525
ma_slope_48,0.004645749708291097
signed_amount_mean_20,0.004601079737213244
signed_amount_sum_48,0.004599374196059504
signed_volume_mean_48,0.004578920925917657
vol_ratio_10_48,0.00455307578774924
ma_slope_5,0.004552884738531174
up_amount_ratio_mean_5,0.004550225724265626
vol_zscore_10_20,0.004546980066289122
log_amount_same_bar_ratio,0.0044488607066350255
clv_volume_mean_48,0.004415414240964594
ma_dev_5,0.00440648956975922
ret_48,0.004375507120141182
vwap_roll_dev_5,0.0043731493329017095
log_amount_ratio_10,0.004356645266003265
adl_roll_norm_10,0.004332899825252616
clv_mean_48,0.004293946267423013
ret_prev_3,0.004282636218381937
vwap_spread_20_day,0.0042758947953264815
clv_volume_sum_48,0.004205676568962942
up_amount_ratio_mean_10,0.004178984370066921
signed_amount_mean_48,0.00415797299335926
clv_volume_mean_20,0.004144142091928376
vwap_bar_dev,0.004131831710340064
down_volume_ratio_mean_20,0.004113970982047756
vol_zscore_5_48,0.004096782757610998
price_zscore_48,0.004093164480043823
up_volume_ratio_mean_5,0.004078366922583004
volume_ratio_10,0.004040175845485164
vwap_roll_slope_5,0.004015710597734532
mom_z_10_48,0.0040148059141566945
vwap_roll_dev_48,0.003995784265911953
adl_roll_norm_20,0.003975035211226133
signed_volume_mean_20,0.003965757534757972
clv_sum_20,0.003964174161783082
ret_amount_sum_5,0.003878524059101187
ma_slope_10,0.0038379706453620195
is_close_30min,0.0038115604035596543
ret_5,0.003796224781516736
up_amount_ratio_mean_20,0.0037879054553457132
vwap_roll_slope_10,0.0037800031934961367
signed_amount_sum_20,0.003763913232605658
vol_zscore_20_20,0.0037621472641216572
down_volume_ratio_mean_10,0.00373392943331675
lower_shadow,0.0037136972761852645
log_ret_5,0.0037084374861407394
clv_mean_20,0.003692341689984169
log_amount_ratio_5,0.00367314567738178
upper_shadow,0.0036688345981369867
clv_sum_48,0.003658403888529405
up_volume_ratio_mean_10,0.0036576449782683017
log_volume_ratio_10,0.0036559297694036016
ret_1,0.0036480913615983155
mom_change_6,0.003647078926718427
ret_recent_3,0.003638445755867709
amount_ratio_5,0.00362702310575297
price_zscore_20,0.003614340385750683
down_amount_ratio_mean_10,0.00361334502786657
signed_volume_sum_20,0.0036098021646224034
vol_zscore_5_20,0.0036075677644532354
clv_volume,0.003606201312156558
clv_volume_sum_20,0.003578021945110733
vwap_dev_day,0.0035715041828233893
up_volume_ratio_mean_20,0.003569158126543773
signed_amount_mean_10,0.0035312567909140755
amount_ratio_10,0.003518780768294956
down_amount_ratio_mean_5,0.003490966695325494
ret_10,0.003488385882361403
ret_amount_sum_10,0.0034834100347886105
down_volume_ratio_mean_5,0.0034656795982086087
mom_5_20,0.0034455120774812054
ret_prev_6,0.003438520281327488
log_ret_1,0.0034271154342918955
clv_volume_mean_10,0.003412812588638654
vol_ratio_5_20,0.003374437501113223
volume_ratio_5,0.003313279730627384
clv_mean_10,0.00330312018786219
signed_amount_sum_5,0.0033021046423022653
ret_amount,0.0032690529334723378
ret_volume,0.003261818967495896
mom_3_10,0.003242521613016658
signed_volume_sum_10,0.0032367349941815403
signed_volume_mean_10,0.0032164514958392646
body,0.003207286566132139
signed_amount_mean_5,0.003201832377852543
clv_sum_10,0.003198139735027594
mom_z_3_20,0.003195131080290923
signed_amount_sum_10,0.0031869186454421008
signed_volume_sum_5,0.0031824984336198603
log_ret_10,0.0031754323235112097
signed_volume_mean_5,0.0031332525489392218
ret_3,0.0031295803659603413
log_volume_ratio_5,0.0030896332700612694
log_ret_3,0.0030861582864527603
amihud,0.0030590342918264514
mom_change_3,0.0030265531925615626
mom_z_5_20,0.0029795469457725727
clv_volume_sum_10,0.0029561822461226218
clv_volume_sum_5,0.002944073881033294
price_zscore_10,0.0028906920919866616
volume_change,0.0028870774714850533
clv_mean_5,0.0027573712730171725
amount_change,0.0027425231579132838
clv_volume_mean_5,0.0026895625777706056
clv_sum_5,0.002545899049788097
close_position,0.00222556200159542
clv,0.0021212201317405786
up_amount_ratio,0.0018853926100611822
down_volume_ratio,0.001694530140715561
down_amount_ratio,0.0015383653583325434
up_volume_ratio,0.0012858202893082954
up_ratio_20,0.0010297280802605221
is_open_30min,0.0009035486330996225
down_ratio_20,0.0009029367536692721
is_morning,0.000725420472634769
down_ratio_10,0.0006127089389075225
up_ratio_10,0.0004859938095594235
up_ratio_5,0.00040725958969165687
is_afternoon,0.00035259612583268357
down_ratio_5,0.00025250803238165706
is_after_weekend,0.00018785010846888224
gap_days,0.0001757986506218168
up_bar,0.0001695260606675011
up_ratio_3,0.00016706457341384594
is_normal_day,0.00016491420525315334
down_ratio_3,0.0001191883198222182
is_after_lunch_open,0.00010973574217221213
down_bar,1.817107051468892e-05
is_after_holiday,0.0
