,0
threshold,0.5155209064483642
horizon,3
round_trip_cost,0.003
trade_count,175
win_rate,0.32
gross_return_mean,-0.0001573681152507765
net_return_mean,-0.0031573681152507766
gross_return_median,-0.0009008271230857012
net_return_median,-0.0039008271230857013
total_return,-0.4318061529784336
max_drawdown,-0.4699385352667289
per_trade_sharpe,-0.2703596263028301
trades_per_year,202.82723666813575
bar_annualized_sharpe,-29.13869778562492
sharpe,-3.8503922488442335
avg_pred_prob,0.5312300092833383
positive_label_rate,0.5371428571428571
buy_label_rate,0.37714285714285717
selected_by,validation_net_return_mean
selected_quantile,0.95
