,0
threshold,0.4390984311699867
horizon,12
round_trip_cost,0.003
trade_count,88
win_rate,0.375
gross_return_mean,-0.0008810019437453533
net_return_mean,-0.0038810019437453542
gross_return_median,-0.001791713484539048
net_return_median,-0.004791713484539048
total_return,-0.2987887310391345
max_drawdown,-0.34190297724056495
per_trade_sharpe,-0.2267510311883881
trades_per_year,103.31011238462997
bar_annualized_sharpe,-24.438670302704466
sharpe,-2.304733358254529
avg_pred_prob,0.44727868620644917
positive_label_rate,0.4772727272727273
buy_label_rate,0.4090909090909091
selected_by,validation_net_return_mean
selected_quantile,0.95
