epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,422.47998754680157,0.7151183376875326,0.7045488141568058,0.5596513748168945,0.8395636081695557
2,400.46842773258686,0.7238777857006682,0.7041763984543115,0.5261262059211731,0.8495302796363831
3,395.4394901841879,0.7303064545973682,0.7015278027514389,0.5023769736289978,0.875701904296875
4,390.4729209244251,0.7353517556317983,0.6949863331876429,0.49144747853279114,0.8781057000160217
5,384.78155840933323,0.7482372095610291,0.6945979237552351,0.4878336489200592,0.8862626552581787
6,376.47145822644234,0.7565924438416314,0.686292890249392,0.4468614459037781,0.898229718208313
7,367.71409875899553,0.7716668254435207,0.6835520753804228,0.4574592411518097,0.9158937931060791
8,354.31807643920183,0.79485468679097,0.6757949121971452,0.4448464512825012,0.9293930530548096
9,337.3302579522133,0.8173616657065709,0.6658847547630349,0.44707515835762024,0.9579284191131592
10,320.3856322877109,0.8531648160497737,0.6437208820535242,0.4263554513454437,0.9570174217224121
11,299.0516618405236,0.8679850072415966,0.643700804818101,0.4023022949695587,0.9762138724327087
