side,prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,future_return_mean
buy,0,16,0.21696879,0.125,-0.0022039155519401124,-0.0027254157715237634
buy,1,15,0.25271103,0.06666666666666667,-0.003806115503913817,-0.004035162070503687
buy,2,15,0.26873627,0.2,-9.302900833426293e-05,-0.00018292087962209862
buy,3,15,0.27861145,0.2,-0.0003870084324225346,-0.00036022452263027025
buy,4,15,0.28899077,0.13333333333333333,-0.0009574112595172491,-0.0009664070941626912
buy,5,15,0.3084367,0.13333333333333333,-0.0012225406710158074,-0.0012409443867388884
buy,6,15,0.32364032,0.3333333333333333,0.0005804412076422534,0.0005629426035490326
buy,7,15,0.34849647,0.2,-0.0003104072970601779,-0.0003011525643447828
buy,8,15,0.37315258,0.6,0.002843362728933352,0.0028883343009909134
buy,9,16,0.4018614,0.125,-0.0013726582463600076,-0.0018357565225752756
sell,0,16,0.16376038,0.3125,-0.001130637154445252,-0.001147403256298564
sell,1,15,0.18471822,0.26666666666666666,0.0008980373490253009,0.0003117656978286476
sell,2,15,0.19768444,0.6,-0.003196981400055828,-0.003525210440442265
sell,3,15,0.21989372,0.3333333333333333,-0.0012424233684190358,-0.0016736971096300197
sell,4,15,0.2386437,0.3333333333333333,-0.0007654805982980924,-0.0008373309009782466
sell,5,15,0.25563222,0.4666666666666667,-0.0026587565454906517,-0.0025921178633784513
sell,6,15,0.27186853,0.2,0.0007078093869275974,0.0006266495282555222
sell,7,15,0.28574175,0.2,0.0009203272147682906,0.0009563286742792017
sell,8,15,0.30130088,0.3333333333333333,-0.00021303464212383272,-0.00015084903395169065
sell,9,16,0.33744973,0.25,-0.0003855044238754851,-0.0003679001304053228
