epoch,loss,train_auc,valid_auc,train_prob_mean,valid_prob_mean,valid_prob_max
1,139.02757054567337,0.6864724318757432,0.6489218583421977,0.5453829765319824,0.5141447186470032,0.8177024126052856
2,132.07919418811798,0.7065477149672716,0.6542101478961951,0.5364129543304443,0.5079540014266968,0.8522998690605164
3,130.01652616262436,0.7250333167529504,0.6526570430442036,0.5271181464195251,0.49335601925849915,0.8755272030830383
4,127.69094467163086,0.7426052088247792,0.6514442517411184,0.5200459957122803,0.48894357681274414,0.8914860486984253
5,124.68052768707275,0.7648608441652817,0.6463867732844715,0.5106102228164673,0.4756694734096527,0.912228524684906
6,120.5669829249382,0.787556695744593,0.640306583251969,0.4898444712162018,0.4494500160217285,0.9457377791404724
7,115.47325426340103,0.8190870434609302,0.6459086224178379,0.46018943190574646,0.41931983828544617,0.9683047533035278
8,108.31518638134003,0.8432167834184635,0.6435125552972623,0.435323566198349,0.40044620633125305,0.9881932139396667
9,100.3073058128357,0.8552608689900999,0.6324395257215651,0.39330440759658813,0.3447854816913605,0.9889212846755981
10,96.6499105989933,0.8816853239651259,0.6235907831402824,0.37191757559776306,0.3312404453754425,0.991034209728241
11,89.00429859757423,0.8916352730606603,0.6143004888945034,0.32808685302734375,0.2928033173084259,0.9942187070846558
12,82.71685123443604,0.908404296346323,0.6166121417262781,0.328946590423584,0.2671809196472168,0.9965938925743103
