,0
threshold,0.5190039873123169
horizon,3
round_trip_cost,0.003
trade_count,170
win_rate,0.3411764705882353
gross_return_mean,0.0005978182953476714
net_return_mean,-0.002402181704652329
gross_return_median,-0.0002921260784659596
net_return_median,-0.0032921260784659597
total_return,-0.34518029835376196
max_drawdown,-0.3911619253441183
per_trade_sharpe,-0.1831899298027044
trades_per_year,197.0343437014511
bar_annualized_sharpe,-19.743761577447373
sharpe,-2.571417303728824
avg_pred_prob,0.534325638588737
positive_label_rate,0.5588235294117647
buy_label_rate,0.38235294117647056
selected_by,validation_net_return_mean
selected_quantile,0.95
