side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.4730989336967468,396,0.5,0.28535353535353536,-0.0007465695228942453,-0.0007324644087022149
buy,0.6,0.49191607236862184,317,0.40025252525252525,0.26813880126182965,-0.0009633003293956705,-0.0009435686776337002
buy,0.7,0.5142966449260712,238,0.3005050505050505,0.25630252100840334,-0.0011630788708329842,-0.0011067337645166136
buy,0.75,0.5268730819225311,198,0.25,0.25757575757575757,-0.0012416239784235014,-0.0012255501237552243
buy,0.8,0.5418384432792663,159,0.20075757575757575,0.2641509433962264,-0.0013658385219753341,-0.001327173460471893
buy,0.85,0.5562940120697022,119,0.15025252525252525,0.2689075630252101,-0.0013513973599134639,-0.001286543494968915
buy,0.9,0.5774838924407959,80,0.10101010101010101,0.3,-0.0006668654937551241,-0.0006108430026840362
buy,0.95,0.6059661149978637,40,0.050505050505050504,0.25,0.00044741178529493774,0.0005475467385166494
sell,0.5,0.29829734563827515,396,0.5,0.3838383838383838,-0.0007406887408795642,-0.0007697142673956793
sell,0.6,0.39632885456085204,317,0.40025252525252525,0.38170347003154576,-0.0006794228861929462,-0.000716319445553894
sell,0.7,0.520821863412857,238,0.3005050505050505,0.41596638655462187,-0.0010302648083150593,-0.0010352037794399038
sell,0.75,0.5791307538747787,198,0.25,0.4292929292929293,-0.0011781402927134852,-0.0011933704429671294
sell,0.8,0.6384794354438782,159,0.20075757575757575,0.4528301886792453,-0.0014219010380984176,-0.0014246486197572463
sell,0.85,0.7159012973308564,119,0.15025252525252525,0.46218487394957986,-0.0017732340684800646,-0.0017447389487343485
sell,0.9,0.8009424924850463,80,0.10101010101010101,0.425,-0.0009629224187944013,-0.0009732895350711701
sell,0.95,0.8708023637533188,40,0.050505050505050504,0.45,-0.0014220102561066262,-0.001468231544779322
