,0
threshold,0.4365411877632141
horizon,12
round_trip_cost,0.003
trade_count,79
win_rate,0.4050632911392405
gross_return_mean,8.931530957243359e-05
net_return_mean,-0.002910684690427567
gross_return_median,-0.000674157303370837
net_return_median,-0.003674157303370837
total_return,-0.2169258446918595
max_drawdown,-0.29757616186825286
per_trade_sharpe,-0.15178137987831114
trades_per_year,92.74430543620191
bar_annualized_sharpe,-16.358625058925607
sharpe,-1.461713046737328
avg_pred_prob,0.444685637196408
positive_label_rate,0.5189873417721519
buy_label_rate,0.45569620253164556
selected_by,validation_net_return_mean
selected_quantile,0.95
