prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.28749555,0.9339901477832512,0.00023288905705057231,-0.0006177606177607542
1,1015,0.32063094,0.9339901477832512,0.0006612969637906684,-0.0005582849486377439
2,1015,0.3392657,0.9241379310344827,0.0002531714571029209,-0.000734454055818512
3,1014,0.35405818,0.9211045364891519,0.0003428327181763373,-0.000719071150691919
4,1015,0.36636156,0.9261083743842364,0.0010782792320656873,-0.0006880733944953921
5,1015,0.37782416,0.916256157635468,0.0010008936518451563,-0.0011106997408367736
6,1014,0.38889158,0.9684418145956607,0.000721374583399648,-0.0005398883672113608
7,1015,0.40038872,0.9123152709359605,0.00024518722724083233,-0.001123415182153753
8,1015,0.41386524,0.9536945812807882,0.001724463416739747,-0.0006524221171098077
9,1015,0.43669775,0.9576354679802955,0.0004004623881816714,-0.0005184417123390572
