,0
threshold,0.49313859343528743
horizon,6
round_trip_cost,0.003
trade_count,114
win_rate,0.34210526315789475
gross_return_mean,-0.0010518253486237511
net_return_mean,-0.004051825348623752
gross_return_median,-0.0006782582861325492
net_return_median,-0.0036782582861325493
total_return,-0.37683002055713855
max_drawdown,-0.39860550246361515
per_trade_sharpe,-0.30428530027941536
trades_per_year,136.91245376078913
bar_annualized_sharpe,-32.7951237642216
sharpe,-3.5604299820381065
avg_pred_prob,0.5091912806556936
positive_label_rate,0.543859649122807
buy_label_rate,0.40350877192982454
selected_by,validation_net_return_mean
selected_quantile,0.95
