epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,367.80944272875786,0.6068453024125304,0.587532889602426,0.5809165239334106,0.761833906173706
2,359.5026005804539,0.6317371408036638,0.6002422820924477,0.5571434497833252,0.7544149160385132
3,355.6440024971962,0.6490265938164417,0.6005784714325001,0.5465716123580933,0.7865947484970093
4,351.8584124147892,0.6645531937591092,0.6002205879620339,0.5380204916000366,0.8128657341003418
5,347.0736888349056,0.6808514882386816,0.5922455329602129,0.5222119092941284,0.8557295203208923
6,339.81241166591644,0.6995668725600718,0.5836044402821444,0.5113946199417114,0.8835375905036926
7,331.3647211790085,0.7150174940300188,0.5734066659977256,0.49997228384017944,0.9318345785140991
8,321.6250730752945,0.7324161531122786,0.5650947712964821,0.5047054290771484,0.9520998597145081
9,309.2310192286968,0.7474937851003814,0.545937692785099,0.5036185383796692,0.978010356426239
10,296.3166304975748,0.7768937578578203,0.5405819601459778,0.4974726438522339,0.9881787896156311
11,281.59594144672155,0.8014561310355879,0.5305417818731837,0.49276143312454224,0.9831655025482178
12,264.5771270543337,0.8345049762271975,0.5295859626433578,0.45710891485214233,0.9910773038864136
13,249.327885851264,0.8611984983018953,0.5269972071710483,0.44964930415153503,0.9972500205039978
