prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.28822508,0.9192118226600985,0.000154860031628413,-0.0006486286137880048
1,1015,0.3214353,0.9349753694581281,0.00040066162074634974,-0.0007456426507597147
2,1015,0.34039962,0.9733990147783251,0.0005713473219310136,-0.0002261079288513601
3,1014,0.3542555,0.9398422090729783,0.00026716385061322835,-0.0004768358692410213
4,1015,0.36614582,0.9349753694581281,0.00047420545154558646,-0.0008672086720866723
5,1015,0.37800846,0.9201970443349754,0.001200478675991603,-0.0008540372670808871
6,1014,0.38884,0.8668639053254438,-0.00024637370647896445,-0.001571433136562217
7,1015,0.39980268,0.9822660098522168,0.0020927378411385207,-0.0002461841457410685
8,1015,0.41181117,0.9448275862068966,0.0016511213893090817,-0.0009189065012634723
9,1015,0.4352852,0.9310344827586207,9.36202219689592e-05,-0.0009650360032662508
