prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.20242748,1.0236453201970444,9.510150957209914e-05,0.0
1,1015,0.28996983,0.9891625615763546,5.997260964415818e-06,-9.390553103572064e-05
2,1015,0.33425033,0.9990147783251232,4.406525139960281e-05,-8.525149190108383e-05
3,1015,0.36683604,0.9270935960591133,-0.0001581207928252037,-0.0002811884900177919
4,1015,0.39357778,0.993103448275862,0.00013014423198277268,-9.931472837410027e-05
5,1015,0.41683874,0.9901477832512315,3.093900546470652e-05,-8.910273545403857e-05
6,1015,0.43935373,0.9812807881773399,0.00011091887914966038,0.0
7,1015,0.46303034,0.9714285714285714,2.121807076691113e-05,-0.00025922405599243525
8,1015,0.49232125,1.0108374384236454,0.00041592660115783857,8.395600705224382e-05
9,1015,0.5377674,0.9783251231527094,9.618755515437235e-05,-0.00031214233690568527
