prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1013,0.26808798,0.9921026653504442,0.00028419919384897974,-0.0002221975336075266
1,1012,0.32202557,0.9693675889328063,8.087804116164696e-05,-0.00023164707063649814
2,1012,0.35196003,0.9120553359683794,-0.00016114090965748415,-0.0006508701703182296
3,1013,0.3768135,0.9624876604146101,0.0001766979454238246,-0.0003435245620061478
4,1012,0.399617,0.908102766798419,-0.00018184425456561052,-0.0004703656868967898
5,1012,0.42027402,0.9150197628458498,-0.00024740652626168726,-0.00043869037846178127
6,1013,0.4408822,1.033563672260612,0.0007716624051122252,0.0001123343068973881
7,1012,0.4621535,0.9782608695652174,0.0004438647371636947,-0.00015629445560400024
8,1012,0.48778498,0.9634387351778656,0.00042387917969640386,-0.0003501207699069808
9,1013,0.5278096,0.9358341559723593,0.00023154062790976807,-0.0005791346074295323
