,0
threshold,0.497059990465641
horizon,9
round_trip_cost,0.003
trade_count,80
win_rate,0.35
gross_return_mean,-0.0006743774835642327
net_return_mean,-0.003674377483564234
gross_return_median,-0.0005546593905697006
net_return_median,-0.0035546593905697007
total_return,-0.263113039429518
max_drawdown,-0.34556204508052535
per_trade_sharpe,-0.22097196099538566
trades_per_year,102.48511197983268
bar_annualized_sharpe,-23.815816283638792
sharpe,-2.2370081162539623
avg_pred_prob,0.5069747768342495
positive_label_rate,0.5625
buy_label_rate,0.3875
selected_by,validation_net_return_mean
selected_quantile,0.95
