prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.38616255,0.20295566,-0.00032804668896437695,-0.000790156902584993
1,1014,0.4979982,0.27021697,0.00046331206743073847,-0.0003162002767060357
2,1014,0.5370266,0.30276135,0.00042578257241819865,-0.00030339409775492765
3,1014,0.55929464,0.29881656,-2.4409662260144544e-05,-0.0006660308923103209
4,1015,0.5778466,0.29852217,0.0002854539840911768,-0.0008934155275619471
5,1014,0.59696376,0.34319526,0.001192420542091707,-0.0001388800821749414
6,1014,0.617875,0.3500986,0.001095107706417255,-0.00013738657014394917
7,1014,0.6406648,0.32643,0.0003856442675701229,-0.0009570747217806375
8,1014,0.6668589,0.33234715,0.0006290604134506627,-0.0008110630593223256
9,1015,0.7047625,0.39901477,0.000975212932157861,0.0
