,0
threshold,0.5058361411094665
horizon,1
round_trip_cost,0.003
trade_count,348
win_rate,0.2557471264367816
gross_return_mean,-0.0002346946352891854
net_return_mean,-0.0032346946352891856
gross_return_median,-0.00018165364210603885
net_return_median,-0.003181653642106039
total_return,-0.6784662050406012
max_drawdown,-0.6796089417944924
per_trade_sharpe,-0.5056923673466596
trades_per_year,398.4241883346575
bar_annualized_sharpe,-54.50228374005297
sharpe,-10.093905789176247
avg_pred_prob,0.5255506559350025
positive_label_rate,0.6264367816091954
buy_label_rate,0.35919540229885055
selected_by,validation_net_return_mean
selected_quantile,0.95
