prob_group,sample_count,pred_prob_mean,buy_label_mean,sell_label_mean,trade_return_mean,trade_return_median
0,1013,0.4563147,0.21816386969397827,0.0,5.7958412468900645e-05,-0.0002279202279201753
1,1012,0.5246118,0.2727272727272727,0.0,-4.5393525202628496e-05,-0.00025388214735655446
2,1012,0.5505766,0.26679841897233203,0.0,0.00010840565894032977,-0.0004698604905322701
3,1013,0.56637603,0.29713721618953604,0.0,0.00026079331670685903,-0.0002803476310625497
4,1012,0.5799187,0.29446640316205536,0.0,0.00025689145258469897,-0.0002446325170165631
5,1012,0.5937734,0.2984189723320158,0.0,-0.0009803655847496083,-0.0004963082481824754
6,1013,0.606888,0.26850937808489633,0.0,0.00026904905554625384,-0.00033291164524940076
7,1012,0.62045616,0.2845849802371542,0.0,0.000583370068739962,-0.0002984113817976475
8,1012,0.6367849,0.2964426877470356,0.0,0.0005989676556145599,-0.00031753489661207057
9,1013,0.6640157,0.315893385982231,0.0,-0.00019280640581214583,-0.00032629976071352207
