epoch,loss,train_auc,valid_auc,train_prob_mean,valid_prob_mean,valid_prob_max
1,429.01482063531876,0.6661356072234392,0.6459708281987173,0.548309326171875,0.5434703230857849,0.8481867909431458
2,414.85619044303894,0.6822403969004702,0.6491598660648703,0.5463218092918396,0.5387428998947144,0.8671669363975525
3,407.49748933315277,0.6967150204242558,0.6447536794395271,0.5327220559120178,0.5125133395195007,0.8817847371101379
4,402.51238626241684,0.708037991827116,0.6341539721721771,0.5143606066703796,0.4922085404396057,0.8806291222572327
5,396.564250767231,0.7227731697552753,0.6261832865670282,0.5143539905548096,0.49914824962615967,0.8912363648414612
6,389.77440744638443,0.7476005115368031,0.6235281429123246,0.4983033835887909,0.48374655842781067,0.8861230611801147
7,376.9728575348854,0.7793003671103848,0.6067904478640187,0.48511430621147156,0.4767516553401947,0.9029491543769836
8,358.0806933641434,0.8063273846144915,0.6007638660337206,0.4662705957889557,0.45296141505241394,0.931684136390686
9,337.69881278276443,0.829841771166702,0.5946042170346691,0.43353185057640076,0.41314664483070374,0.9428989291191101
10,315.9698533117771,0.8524146122182273,0.5791095281158453,0.43223583698272705,0.4133491814136505,0.9723373651504517
11,295.14277362823486,0.8788408117613415,0.5817904535344947,0.38295432925224304,0.35999274253845215,0.9701346755027771
12,271.96602791547775,0.8926630122894672,0.583679515889543,0.38994112610816956,0.35295772552490234,0.9857812523841858
