side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.42680627136406557,76,0.5,0.17105263157894737,-0.0007043347108081019,-0.0006553286828309018
buy,0.6,0.4417057106937002,61,0.40131578947368424,0.19672131147540983,-0.0006627364931380412,-0.0006085218269914137
buy,0.7,0.45241050483192746,46,0.3026315789473684,0.1956521739130435,-0.0006183134750797903,-0.000579515614043349
buy,0.75,0.45536924644743754,38,0.25,0.18421052631578946,-0.000796242154196024,-0.0007999159009904917
buy,0.8,0.46309194471036774,31,0.20394736842105263,0.1935483870967742,-0.0007482804628969957,-0.0007572035546546127
buy,0.85,0.46981808872096503,23,0.1513157894736842,0.21739130434782608,-0.00043619650480810815,-0.00046015994311069444
buy,0.9,0.48483255821197685,16,0.10526315789473684,0.1875,-0.0012567386799762423,-0.0012999207396477766
buy,0.95,0.5010879009636716,8,0.05263157894736842,0.25,-0.0003722905655350883,-0.0004929597697294064
sell,0.5,0.37104981176509033,76,0.5,0.39473684210526316,-0.0008593949098474095,-0.0007862569243072358
sell,0.6,0.38346817573206204,61,0.40131578947368424,0.36065573770491804,-0.0006167081008803892,-0.0005345895496310116
sell,0.7,0.3979603708992487,46,0.3026315789473684,0.34782608695652173,-0.0006384923153451198,-0.0005326804630463963
sell,0.75,0.4104559388736603,38,0.25,0.3157894736842105,-0.00023254741827037848,-0.00010091178695102658
sell,0.8,0.414349368052359,31,0.20394736842105263,0.3548387096774194,-6.224034715738722e-05,7.235644244854656e-05
sell,0.85,0.4216895304662302,23,0.1513157894736842,0.30434782608695654,0.00044113117130278634,0.0006108042436424648
sell,0.9,0.4421480173030902,16,0.10526315789473684,0.3125,0.0006501941626203753,0.0006422343837872366
sell,0.95,0.4846688027639955,8,0.05263157894736842,0.625,-0.0011255833580803981,-0.00121207154097909
