epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,377.6410528421402,0.6218291022636174,0.6041710749355891,0.582240641117096,0.7681717276573181
2,368.2256225645542,0.6455465875143414,0.6126491709671958,0.5608385801315308,0.7623000741004944
3,364.0159467756748,0.6656596791095171,0.6129187143682453,0.5423818230628967,0.7679125666618347
4,359.32411301136017,0.6830340474781718,0.6131023086581572,0.5289694666862488,0.7976670265197754
5,351.06053045392036,0.6986397739522656,0.5917097641684513,0.5268231630325317,0.83272385597229
6,342.14622324705124,0.712572917391255,0.5783510107343695,0.5100184679031372,0.8573073744773865
7,329.1314024925232,0.7475801588523676,0.5592404612501999,0.4878903925418854,0.8910973072052002
8,312.6304722726345,0.7719178213159582,0.5495447851650765,0.47002559900283813,0.9335257411003113
9,293.1114158332348,0.7978684157742642,0.5423389398101918,0.44674110412597656,0.9714993238449097
10,274.1663488447666,0.8334735362417635,0.535579995861242,0.38871049880981445,0.9876168370246887
11,255.1793217882514,0.8552031660819592,0.5462007532461683,0.3596656322479248,0.9922993779182434
12,237.3237076625228,0.8714624629791299,0.5237878360508329,0.36533182859420776,0.993108868598938
13,218.53104308247566,0.8798731791002811,0.5473616486233389,0.3092043399810791,0.9922864437103271
14,203.85793028771877,0.8905090817284566,0.5390739170120807,0.304783433675766,0.9936296343803406
