,0
threshold,0.49403302371501917
horizon,9
round_trip_cost,0.003
trade_count,86
win_rate,0.4069767441860465
gross_return_mean,0.0009172523440496908
net_return_mean,-0.00208274765595031
gross_return_median,0.0006482484464518379
net_return_median,-0.002351751553548162
total_return,-0.17583100482802716
max_drawdown,-0.27816427931692556
per_trade_sharpe,-0.11397438993297164
trades_per_year,107.96004534876784
bar_annualized_sharpe,-12.28388035955451
sharpe,-1.184237489344704
avg_pred_prob,0.5050662953493207
positive_label_rate,0.5813953488372093
buy_label_rate,0.46511627906976744
selected_by,validation_net_return_mean
selected_quantile,0.95
