prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1014,0.25800157,0.2209073,-0.00017405771954569782,-0.0007769052086257777
1,1013,0.44812724,0.3030602,0.0009148096894456438,8.633341966679531e-05
2,1013,0.50141376,0.29812437,0.00028554710770709827,-0.0001517450682854138
3,1013,0.5348042,0.2941757,0.0002361908554151937,-0.0005446029844242695
4,1013,0.5590376,0.28726554,-8.83066483751947e-05,-0.0009711566475671951
5,1013,0.58021665,0.32971373,0.0008964974508413186,-0.0008899676375404564
6,1013,0.60127246,0.31589338,0.0004595096846028572,-0.0008995011857061419
7,1013,0.6223193,0.31589338,0.00019933458780260817,-0.000661320988674885
8,1013,0.6473886,0.34846988,0.0005430513906147568,-0.0005814436414984803
9,1013,0.68862426,0.41263574,0.0018308215239970648,0.0004731861198739029
