signal_time,entry_time,exit_time,holding_bars,pred_prob,entry_price,exit_price,gross_return,round_trip_cost,net_return,y_true,equity
2025-07-04 09:35:00,2025-07-04 09:40:00,2025-07-04 10:05:00,6,0.661404550075531,85.6,85.1,-0.005841121495327117,0.003,-0.008841121495327117,0.0,0.9911588785046729
2025-07-07 09:35:00,2025-07-07 09:40:00,2025-07-07 10:05:00,6,0.7151955366134644,86.75,85.78,-0.011181556195965392,0.003,-0.014181556195965391,0.0,0.9771027031700288
2025-07-07 10:10:00,2025-07-07 10:15:00,2025-07-07 10:40:00,6,0.5960176587104797,85.93,85.96,0.00034912137786546893,0.003,-0.002650878622134531,0.0,0.9745125225025655
2025-07-08 09:35:00,2025-07-08 09:40:00,2025-07-08 10:05:00,6,0.6543954610824585,85.63,85.59,-0.00046712600724041486,0.003,-0.003467126007240415,0.0,0.9711337647914153
2025-07-09 09:35:00,2025-07-09 09:40:00,2025-07-09 10:05:00,6,0.6999291777610779,86.5,86.29,-0.0024277456647398,0.003,-0.0054277456647398,0.0,0.9658626977096862
2025-07-10 09:35:00,2025-07-10 09:40:00,2025-07-10 10:05:00,6,0.6195255517959595,85.88,85.92,0.00046576618537508274,0.003,-0.0025342338146249173,0.0,0.9634149758008655
2025-07-11 09:35:00,2025-07-11 09:40:00,2025-07-11 10:05:00,6,0.6839494109153748,85.48,86.46,0.01146467009826857,0.003,0.008464670098268571,1.0,0.9715699657387514
2025-07-11 13:25:00,2025-07-11 13:30:00,2025-07-11 13:55:00,6,0.57578444480896,88.92,88.41,-0.005735492577597867,0.003,-0.008735492577597866,0.0,0.9630828235144235
2025-07-14 09:35:00,2025-07-14 09:40:00,2025-07-14 10:05:00,6,0.6838764548301697,87.85,88.03,0.0020489470688673794,0.003,-0.0009510529311326206,0.0,0.9621668807721967
2025-07-15 09:35:00,2025-07-15 09:40:00,2025-07-15 10:05:00,6,0.6732176542282104,87.29,87.76,0.00538435101386181,0.003,0.00238435101386181,1.0,0.9644610243498702
2025-07-15 11:25:00,2025-07-15 11:30:00,2025-07-15 13:25:00,6,0.5764783620834351,86.94,86.88,-0.0006901311249137843,0.003,-0.0036901311249137843,0.0,0.9609020367051505
2025-07-16 09:35:00,2025-07-16 09:40:00,2025-07-16 10:05:00,6,0.5761063098907471,87.58,87.95,0.00422470883763415,0.003,0.0012247088376341501,1.0,0.9620788619216041
