,0
threshold,0.48161445260047914
horizon,6
round_trip_cost,0.003
trade_count,121
win_rate,0.36363636363636365
gross_return_mean,-0.00035640169670131806
net_return_mean,-0.0033564016967013188
gross_return_median,-0.000657276995305045
net_return_median,-0.003657276995305045
total_return,-0.3413924628873233
max_drawdown,-0.36550343760155357
per_trade_sharpe,-0.25060974547574816
trades_per_year,145.31769971115096
bar_annualized_sharpe,-27.010104043311316
sharpe,-3.0210451278524326
avg_pred_prob,0.49780850026233137
positive_label_rate,0.5454545454545454
buy_label_rate,0.4380165289256198
selected_by,validation_net_return_mean
selected_quantile,0.95
