,0
threshold,0.5386936783790589
horizon,2
round_trip_cost,0.003
trade_count,213
win_rate,0.29107981220657275
gross_return_mean,-0.0010842244831025865
net_return_mean,-0.0040842244831025875
gross_return_median,-0.0011112875059533511
net_return_median,-0.004111287505953351
total_return,-0.5855775528838674
max_drawdown,-0.5878619547401474
per_trade_sharpe,-0.44176159522749203
trades_per_year,241.60947204968943
bar_annualized_sharpe,-47.61198183567214
sharpe,-6.866650382635996
avg_pred_prob,0.5598411733555682
positive_label_rate,0.5258215962441315
buy_label_rate,0.3286384976525822
selected_by,validation_net_return_mean
selected_quantile,0.95
