epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,389.4967144727707,0.6340197975297941,0.6378751943825465,0.38300201296806335,0.6357448101043701
2,385.1569347381592,0.64000726178574,0.6395597770144765,0.38008955121040344,0.6355848908424377
3,383.5633816421032,0.6455652482843438,0.6387584494373355,0.3753441274166107,0.6225574612617493
4,381.7792836725712,0.6528608411454518,0.6362943039258061,0.3697083592414856,0.6552851796150208
5,379.4405493438244,0.6624387489839252,0.6319321429283226,0.3697287142276764,0.6425731778144836
6,376.42917504906654,0.6748381182078662,0.6248924283542349,0.36664724349975586,0.709458589553833
7,372.7755062878132,0.6907470253266099,0.6140123601667761,0.3670591115951538,0.7610993981361389
8,367.29492458701134,0.7079410535252058,0.6030964719474863,0.3665677011013031,0.8038560152053833
9,359.70729207992554,0.7299305728956311,0.5887392330437885,0.34745460748672485,0.8659211993217468
10,350.19597589969635,0.7580329053323507,0.5776049541806018,0.33938926458358765,0.9176003336906433
11,338.2183579802513,0.7831786024305413,0.5711142652570281,0.35261356830596924,0.9419308304786682
12,324.18110524117947,0.8113698199270415,0.5703330415178214,0.34578365087509155,0.937353789806366
