,0
threshold,0.6511327922344208
horizon,3
round_trip_cost,0.003
trade_count,226
win_rate,0.36283185840707965
gross_return_mean,-0.00011175956145268461
net_return_mean,-0.003111759561452685
gross_return_median,-0.00013652730003432811
net_return_median,-0.003136527300034328
total_return,-0.5107294330300781
max_drawdown,-0.5260602259723602
per_trade_sharpe,-0.3235412667378591
trades_per_year,256.25058744906977
bar_annualized_sharpe,-34.87048462662433
sharpe,-5.17919325374636
avg_pred_prob,0.6620554167084989
positive_label_rate,0.30973451327433627
selected_by,fixed_validation_buy_probability_quantile
selected_quantile,0.95
