prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.2303284,0.098522164,0.00011694143191782517,-0.0002309468822170313
1,1015,0.39219862,0.14679803,0.00024436402331633043,-0.00017548477669560025
2,1015,0.48061404,0.1635468,0.00013015262186606447,-0.0002777777777778212
3,1015,0.5443846,0.1684729,-7.781370270438563e-05,-0.0005607177186799372
4,1015,0.5962265,0.20591132,-6.0860514300562204e-05,-0.00040660323656172004
5,1015,0.6374763,0.23546799,8.031624374740473e-05,-0.0003445009043149261
6,1015,0.6750043,0.29655173,0.00026825525419454184,-0.0002416042522348505
7,1015,0.70575446,0.29655173,0.0001810771468811141,-0.00033470936070512103
8,1015,0.7332402,0.33004925,0.0004577541757962469,-0.00011113580795740763
9,1015,0.7699721,0.35270935,0.0005016659844848442,-0.0005791346074295323
