epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,392.67360895872116,0.6208693293298495,0.6168578899954957,0.38130003213882446,0.5758755207061768
2,388.2933715581894,0.6280249099166113,0.6130317692785591,0.3751976191997528,0.585930347442627
3,386.2103921175003,0.6384351470308459,0.6106207617161116,0.3706812262535095,0.6108488440513611
4,384.31303983926773,0.651454326813468,0.6061233500773102,0.36975815892219543,0.6336984038352966
5,381.56982284784317,0.6674745409079961,0.587990028496997,0.366107702255249,0.7055200338363647
6,377.48343339562416,0.6838853772409489,0.577564969615872,0.35076916217803955,0.7644088268280029
7,372.9060286283493,0.7034546747561171,0.5624006810229116,0.3468697667121887,0.7837560176849365
8,365.04184636473656,0.7260700835644548,0.5509681095537001,0.3344182074069977,0.8496237397193909
9,354.5139845609665,0.7451812854080814,0.5216074161430804,0.3196169137954712,0.9350975751876831
10,342.50098195672035,0.7767413495871506,0.5316630451184264,0.3544102609157562,0.9394227266311646
11,327.3244792819023,0.8050101468827359,0.5197251768879685,0.31755444407463074,0.9775407910346985
