,0
threshold,0.5029648542404175
horizon,3
round_trip_cost,0.003
trade_count,179
win_rate,0.3240223463687151
gross_return_mean,0.00021291536508389242
net_return_mean,-0.002787084634916108
gross_return_median,-0.0009093389106119565
net_return_median,-0.0039093389106119565
total_return,-0.401563202057728
max_drawdown,-0.4417856657396385
per_trade_sharpe,-0.22347718502325375
trades_per_year,203.0405124168347
bar_annualized_sharpe,-24.085823188262815
sharpe,-3.1843774705739
avg_pred_prob,0.5201214971489081
positive_label_rate,0.5418994413407822
buy_label_rate,0.3743016759776536
selected_by,validation_net_return_mean
selected_quantile,0.95
