model_label,epoch,train_loss,valid_loss,valid_auc,valid_prob_mean,valid_prob_max
LSTM_sell,1,0.949849190424435,0.9298344522106404,0.48485102619621234,0.5210993885993958,0.7506365180015564
LSTM_sell,2,0.9125506260886265,0.9066970263208661,0.496401451617822,0.5124783515930176,0.6695286631584167
LSTM_sell,3,0.8887029430974069,0.9117828935992961,0.5084016955872037,0.5084351301193237,0.717746376991272
LSTM_sell,4,0.8710505767683288,0.939107853539136,0.5165441737061999,0.5314927101135254,0.8307421207427979
LSTM_sell,5,0.851597115622094,0.9405583386518517,0.5359016193467719,0.5111705660820007,0.8808076977729797
LSTM_sell,6,0.8193737199558085,0.9975519228954705,0.5458814918727699,0.5281920433044434,0.9296687841415405
LSTM_sell,7,0.7911371130440104,1.0648221860126572,0.5543365557622518,0.5470027327537537,0.9577328562736511
LSTM_sell,8,0.7684755046763013,1.1206129789352417,0.5301607148302889,0.570563793182373,0.9725924730300903
LSTM_sell,9,0.7527296360413632,1.1643663352849531,0.50330883474124,0.5743652582168579,0.9846307635307312
LSTM_sell,10,0.757789218545559,1.0548662701431586,0.4868561495532311,0.49919581413269043,0.9639880657196045
LSTM_sell,11,0.7246645721957912,1.047969355875132,0.5255862889207404,0.5149082541465759,0.961031973361969
LSTM_sell,12,0.7096998616678631,1.18749239006821,0.4859565124576866,0.5326499938964844,0.9793475270271301
LSTM_sell,13,0.6576233362432701,1.1446828306937704,0.5033393309139703,0.4769924581050873,0.9863210320472717
LSTM_sell,14,0.626596658074077,1.2075462827877121,0.4951816047086091,0.5191685557365417,0.9918904304504395
LSTM_sell,15,0.6318489894196017,1.207203719080711,0.49884876947943035,0.45393699407577515,0.9910503625869751
LSTM_sell,16,0.618160990314867,1.1640435530214894,0.4867036686895795,0.5156105160713196,0.9781461954116821
LSTM_sell,17,0.5955737029487763,1.2459972537293726,0.5055579274801012,0.5256257057189941,0.9947815537452698
