prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.27718416,0.9310344827586207,0.00010519657307574773,-0.0006486286137880048
1,1014,0.3165179,0.9556213017751479,0.00027052304283641307,-0.000349915447813709
2,1014,0.33819637,0.9368836291913215,0.0001934867806111523,-0.0007861678950540352
3,1014,0.35503522,0.9497041420118343,0.0002496310334748295,-0.00044619506064674797
4,1014,0.36847174,0.9990138067061144,0.001278248277587876,0.00013133924672947828
5,1014,0.38079292,0.8994082840236687,0.001413770204711089,-0.001127062634043885
6,1014,0.3930221,0.8796844181459567,0.0007944684588357773,-0.001596549235474587
7,1014,0.4067376,0.9506903353057199,0.001478529642501673,-0.0005871068885107689
8,1014,0.42438805,0.9122287968441815,0.0005864964168082039,-0.001221809831081333
9,1015,0.4690789,0.9389162561576355,0.0003704901533953062,-0.000818479447071585
