leg_type,entry_time,exit_time,entry_price,exit_price,shares,position_pct,entry_prob,exit_prob,gross_return,net_return,exit_reason
sell_first,2020-11-27 14:50:00,2020-11-27 15:00:00,58.780595000000005,58.969469999999994,1300,0.2620958840864405,0.7110729217529297,0.44255879521369934,-0.003202928566256258,-0.006202928566256258,stop_loss_buyback
sell_first,2020-11-30 09:40:00,2020-11-30 09:45:00,58.00098500000001,57.74885999999999,2500,0.4889386661167491,0.7492321133613586,0.42062315344810486,0.004365887049545547,0.001365887049545547,take_profit_buyback
sell_first,2020-11-30 14:00:00,2020-11-30 14:20:00,59.810080000000006,59.439705,1500,0.3179426384918935,0.7204673886299133,0.4141545295715332,0.006231104276173793,0.0032311042761737933,take_profit_buyback
sell_first,2020-12-02 14:55:00,2020-12-02 15:00:00,60.839565,60.93044999999999,1400,0.29151151513991896,0.7160211801528931,0.43998822569847107,-0.001491618722658239,-0.004491618722658239,end_of_day_buyback
sell_first,2020-12-07 09:55:00,2020-12-07 10:50:00,60.99948500000001,60.620295,1800,0.3756528056958991,0.7301753163337708,0.4438689947128296,0.006255165864831325,0.0032551658648313246,take_profit_buyback
sell_first,2020-12-07 13:15:00,2020-12-07 13:20:00,60.399785,60.600285,1800,0.3729801069433829,0.72972571849823,0.43020153045654297,-0.003308565298001498,-0.006308565298001498,stop_loss_buyback
sell_first,2020-12-07 13:25:00,2020-12-07 13:30:00,60.58969,60.79037999999999,2800,0.5829813081164932,0.7650518417358398,0.4184025228023529,-0.0033013447193452894,-0.0063013447193452895,stop_loss_buyback
sell_first,2020-12-07 13:35:00,2020-12-07 14:10:00,60.649660000000004,60.85041,3000,0.6098188460872052,0.7695664167404175,0.3949844241142273,-0.0032990739092799704,-0.00629907390927997,stop_loss_buyback
sell_first,2020-12-07 14:15:00,2020-12-07 15:00:00,60.699635,60.380175,400,0.7471161215502149,0.7926623821258545,0.387564092874527,0.005290809442006328,0.002290809442006328,take_profit_buyback
sell_first,2020-12-08 14:30:00,2020-12-08 15:00:00,60.95950500000001,60.99048,2100,0.44457533924282155,0.7417693734169006,0.4233417510986328,-0.000507866145667224,-0.003507866145667224,end_of_day_buyback
sell_first,2020-12-09 09:40:00,2020-12-09 10:00:00,60.77959500000001,60.43019999999999,3700,0.7589078147472168,0.7946459650993347,0.487038791179657,0.005781794533197271,0.002781794533197271,take_profit_buyback
sell_first,2020-12-10 13:35:00,2020-12-10 14:00:00,61.03946500000001,60.75035999999999,1500,0.31283286934035753,0.7196078300476074,0.3778572976589203,0.004758901840252738,0.0017589018402527383,take_profit_buyback
sell_first,2020-12-10 14:05:00,2020-12-10 15:00:00,60.849560000000004,61.030499999999996,4000,0.8288465620051583,0.8064109683036804,0.45534640550613403,-0.002964747134629242,-0.005964747134629242,end_of_day_buyback
sell_first,2020-12-11 09:40:00,2020-12-11 09:45:00,60.689640000000004,60.93044999999999,4900,1.0,0.840129554271698,0.4559297263622284,-0.003952211086574731,-0.006952211086574731,stop_loss_buyback
sell_first,2020-12-11 09:50:00,2020-12-11 10:00:00,60.95950500000001,61.2306,3800,0.7779256803370088,0.7978451251983643,0.506517231464386,-0.004427443141174381,-0.007427443141174381,stop_loss_buyback
sell_first,2020-12-16 13:50:00,2020-12-16 13:55:00,54.882545,55.36767,2400,0.4510634456802236,0.7428607940673828,0.41312557458877563,-0.008761882159751266,-0.011761882159751266,stop_loss_buyback
sell_first,2020-12-16 14:00:00,2020-12-16 14:05:00,55.25236,55.797885,3500,0.6602255973178761,0.7780457735061646,0.42490896582603455,-0.009776804264175931,-0.01277680426417593,stop_loss_buyback
sell_first,2020-12-16 14:10:00,2020-12-16 14:20:00,55.981995,56.278124999999996,3900,0.7473032069196075,0.7926938533782959,0.5351831316947937,-0.005261902382142192,-0.008261902382142191,stop_loss_buyback
sell_first,2020-12-17 13:50:00,2020-12-17 15:00:00,56.17190000000001,56.038005,1400,0.2687732018633419,0.7121961712837219,0.5274338126182556,0.002389360577701005,-0.0006106394222989949,final_buyback
