side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.4876895844936371,392,0.5,0.23979591836734693,-0.0008264312525200555,-0.0008442598132054857
buy,0.6,0.5089074730873108,314,0.4005102040816326,0.2356687898089172,-0.0009377491640275574,-0.0009673823552117552
buy,0.7,0.5384358942508697,235,0.2997448979591837,0.2127659574468085,-0.0013029027594236716,-0.0012933249830068168
buy,0.75,0.5593036860227585,196,0.25,0.1836734693877551,-0.0016029776709449077,-0.0015208240605397727
buy,0.8,0.5821191430091858,157,0.2002551020408163,0.18471337579617833,-0.0012714884896709224,-0.0012821054172554808
buy,0.85,0.6059827923774719,118,0.15051020408163265,0.2033898305084746,-0.0010619295220285795,-0.0010707624947848356
buy,0.9,0.6416681349277497,79,0.10076530612244898,0.17721518987341772,-0.0010724863862951847,-0.0010650139515340387
buy,0.95,0.6764279633760452,40,0.05102040816326531,0.2,6.616518087896872e-05,1.7247823945545915e-05
sell,0.5,0.5151711404323578,392,0.5,0.31887755102040816,-0.0003229014451972092,-0.00024686358031686227
sell,0.6,0.5642683029174804,314,0.4005102040816326,0.3375796178343949,-0.0008685565879288918,-0.000770898124237418
sell,0.7,0.626719260215759,235,0.2997448979591837,0.3446808510638298,-0.0009306624827212578,-0.000870416011547294
sell,0.75,0.6687435656785965,196,0.25,0.35714285714285715,-0.0009710411396385894,-0.0007713597438028371
sell,0.8,0.7175411343574525,157,0.2002551020408163,0.34394904458598724,-0.0011903292409054253,-0.001189290622826444
sell,0.85,0.7652684420347213,118,0.15051020408163265,0.3305084745762712,-0.0009211371229585711,-0.0009133047458655087
sell,0.9,0.8226278424263,79,0.10076530612244898,0.3670886075949367,-6.134154304471004e-05,-7.67449948887388e-05
sell,0.95,0.8645636141300199,40,0.05102040816326531,0.4,0.00038245707804726304,0.00034605066447918607
