,equity
2020-08-20 10:15:00,1000000.0
2020-08-20 10:20:00,1000000.0
2020-08-20 10:25:00,1000000.0
2020-08-20 10:30:00,1000000.0
2020-08-20 10:35:00,1000000.0
2020-08-20 10:40:00,1000000.0
2020-08-20 10:45:00,1000000.0
2020-08-20 10:50:00,1000000.0
2020-08-20 10:55:00,1000000.0
2020-08-20 11:00:00,1000000.0
2020-08-20 11:05:00,1000000.0
2020-08-20 11:10:00,1000000.0
2020-08-20 11:15:00,1000000.0
2020-08-20 11:20:00,1000000.0
2020-08-20 11:25:00,1000000.0
2020-08-20 11:30:00,1000000.0
2020-08-20 13:05:00,1000000.0
2020-08-20 13:10:00,1000000.0
2020-08-20 13:15:00,1000000.0
2020-08-20 13:20:00,1000000.0
2020-08-20 13:25:00,1000000.0
2020-08-20 13:30:00,1000000.0
2020-08-20 13:35:00,1000000.0
2020-08-20 13:40:00,1000000.0
2020-08-20 13:45:00,1000000.0
2020-08-20 13:50:00,1000000.0
2020-08-20 13:55:00,1000000.0
2020-08-20 14:00:00,998298.5788224998
2020-08-20 14:05:00,997763.5788225
2020-08-20 14:10:00,995944.5788225
2020-08-20 14:15:00,994996.9461625001
2020-08-20 14:20:00,994996.9461625001
2020-08-20 14:25:00,994996.9461625001
2020-08-20 14:30:00,994607.9372125
2020-08-20 14:35:00,993419.9372125
2020-08-20 14:40:00,993120.6317005001
2020-08-20 14:45:00,993120.6317005001
2020-08-20 14:50:00,993120.6317005001
2020-08-20 14:55:00,993120.6317005001
2020-08-20 15:00:00,991912.8939525
2020-08-21 09:35:00,998776.201516
2020-08-21 09:40:00,998776.201516
2020-08-21 09:45:00,998286.1584355
2020-08-21 09:50:00,996875.1584355
2020-08-21 09:55:00,995972.2120180001
2020-08-21 10:00:00,995972.2120180001
2020-08-21 10:05:00,995972.2120180001
2020-08-21 10:10:00,994639.812625
2020-08-21 10:15:00,993979.8601825001
2020-08-21 10:20:00,993525.2676280004
2020-08-21 10:25:00,990193.2676280004
2020-08-21 10:30:00,989147.9235520002
2020-08-21 10:35:00,989147.9235520002
2020-08-21 10:40:00,989147.9235520002
2020-08-21 10:45:00,989147.9235520002
2020-08-21 10:50:00,989147.9235520002
2020-08-21 10:55:00,989147.9235520002
2020-08-21 11:00:00,989147.9235520002
2020-08-21 11:05:00,989147.9235520002
2020-08-21 11:10:00,989147.9235520002
2020-08-21 11:15:00,989147.9235520002
2020-08-21 11:20:00,989147.9235520002
2020-08-21 11:25:00,989147.9235520002
2020-08-21 11:30:00,989147.9235520002
2020-08-21 13:05:00,989147.9235520002
2020-08-21 13:10:00,989147.9235520002
2020-08-21 13:15:00,989147.9235520002
2020-08-21 13:20:00,987392.0543440003
2020-08-21 13:25:00,986861.8991440003
2020-08-21 13:30:00,986861.8991440003
2020-08-21 13:35:00,986861.8991440003
2020-08-21 13:40:00,986861.8991440003
2020-08-21 13:45:00,986861.8991440003
2020-08-21 13:50:00,986861.8991440003
2020-08-21 13:55:00,986861.8991440003
2020-08-21 14:00:00,986861.8991440003
2020-08-21 14:05:00,986861.8991440003
2020-08-21 14:10:00,986861.8991440003
2020-08-21 14:15:00,986861.8991440003
2020-08-21 14:20:00,986861.8991440003
2020-08-21 14:25:00,986861.8991440003
2020-08-21 14:30:00,986861.8991440003
2020-08-21 14:35:00,986861.8991440003
2020-08-21 14:40:00,986861.8991440003
2020-08-21 14:45:00,986861.8991440003
2020-08-21 14:50:00,986861.8991440003
2020-08-21 14:55:00,986861.8991440003
2020-08-21 15:00:00,986861.8991440003
2020-08-24 09:35:00,986861.8991440003
2020-08-24 09:40:00,986861.8991440003
2020-08-24 09:45:00,986861.8991440003
2020-08-24 09:50:00,986861.8991440003
2020-08-24 09:55:00,986861.8991440003
2020-08-24 10:00:00,986861.8991440003
2020-08-24 10:05:00,986861.8991440003
2020-08-24 10:10:00,986861.8991440003
2020-08-24 10:15:00,986861.8991440003
2020-08-24 10:20:00,986861.8991440003
2020-08-24 10:25:00,984033.7988690004
2020-08-24 10:30:00,983288.1356815004
2020-08-24 10:35:00,983288.1356815004
2020-08-24 10:40:00,983288.1356815004
2020-08-24 10:45:00,982095.5813095006
2020-08-24 10:50:00,980988.5813095005
2020-08-24 10:55:00,980496.5813095005
2020-08-24 11:00:00,978938.4858205005
2020-08-24 11:05:00,978938.4858205005
2020-08-24 11:10:00,978938.4858205005
2020-08-24 11:15:00,979508.3082215006
2020-08-24 11:20:00,980471.3082215006
2020-08-24 11:25:00,979325.8806580007
2020-08-24 11:30:00,979325.8806580007
2020-08-24 13:05:00,976095.9375060009
2020-08-24 13:10:00,974637.619774001
2020-08-24 13:15:00,972373.7692620009
2020-08-24 13:20:00,971432.527114001
2020-08-24 13:25:00,971432.527114001
2020-08-24 13:30:00,976822.2697760011
2020-08-24 13:35:00,976830.2005480011
2020-08-24 13:40:00,976830.2005480011
2020-08-24 13:45:00,976830.2005480011
2020-08-24 13:50:00,976830.2005480011
2020-08-24 13:55:00,976830.2005480011
2020-08-24 14:00:00,976830.2005480011
2020-08-24 14:05:00,976830.2005480011
2020-08-24 14:10:00,976830.2005480011
2020-08-24 14:15:00,976830.2005480011
2020-08-24 14:20:00,976830.2005480011
2020-08-24 14:25:00,976830.2005480011
2020-08-24 14:30:00,976830.2005480011
2020-08-24 14:35:00,976830.2005480011
2020-08-24 14:40:00,976830.2005480011
2020-08-24 14:45:00,976830.2005480011
2020-08-24 14:50:00,976830.2005480011
2020-08-24 14:55:00,976830.2005480011
2020-08-24 15:00:00,976830.2005480011
2020-08-25 09:35:00,976830.2005480011
2020-08-25 09:40:00,976830.2005480011
2020-08-25 09:45:00,976830.2005480011
2020-08-25 09:50:00,976830.2005480011
2020-08-25 09:55:00,976830.2005480011
2020-08-25 10:00:00,976830.2005480011
2020-08-25 10:05:00,976388.4450230012
2020-08-25 10:10:00,976088.4450230012
2020-08-25 10:15:00,975638.4450230012
