prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.28945133,0.9152709359605912,0.00017146574182624907,-0.0007449483192103479
1,1015,0.3230771,0.9201970443349754,0.0003235420678627139,-0.0008000000000000229
2,1015,0.34301844,0.9133004926108375,3.077200546108127e-05,-0.0006880733944953921
3,1014,0.35850057,0.9329388560157791,0.0004100508315517682,-0.0006490441101474342
4,1015,0.37098882,0.9684729064039409,0.000981720222716722,-0.00036958329483516295
5,1015,0.38199845,0.9596059113300492,0.0006536325811436211,-0.0004650622020696549
6,1014,0.3926234,0.9053254437869822,0.00013965375979808534,-0.0011475990936317126
7,1015,0.4032885,0.903448275862069,0.0006802588893251014,-0.0013824884792627001
8,1015,0.41502166,0.9773399014778326,0.00228101898305569,-0.0003397508493770962
9,1015,0.43535843,0.9517241379310345,0.0009882287136303112,-0.0005973269618457788
