,0
threshold,0.43184452056884765
horizon,12
round_trip_cost,0.003
trade_count,103
win_rate,0.3883495145631068
gross_return_mean,0.0022635199069417893
net_return_mean,-0.000736480093058212
gross_return_median,0.00017409470752105527
net_return_median,-0.002825905292478945
total_return,-0.09091634584287789
max_drawdown,-0.27732342788980013
per_trade_sharpe,-0.037378857195219085
trades_per_year,120.58066885537811
bar_annualized_sharpe,-4.028601601052439
sharpe,-0.4104543508564172
avg_pred_prob,0.43995517231885667
positive_label_rate,0.5339805825242718
buy_label_rate,0.46601941747572817
selected_by,validation_net_return_mean
selected_quantile,0.95
