,0
threshold,0.538440716266632
horizon,2
round_trip_cost,0.003
trade_count,214
win_rate,0.29906542056074764
gross_return_mean,-8.71386002887482e-05
net_return_mean,-0.003087138600288748
gross_return_median,-0.00031994333134666153
net_return_median,-0.0033199433313466616
total_return,-0.48859677893006437
max_drawdown,-0.48899288079334147
per_trade_sharpe,-0.3382140089934495
trades_per_year,245.01331127485662
bar_annualized_sharpe,-36.45187681938141
sharpe,-5.29403041643092
avg_pred_prob,0.5601981418712116
positive_label_rate,0.5747663551401869
buy_label_rate,0.3878504672897196
selected_by,validation_net_return_mean
selected_quantile,0.95
