,0
threshold,0.4309201717376709
horizon,12
round_trip_cost,0.003
trade_count,96
win_rate,0.3645833333333333
gross_return_mean,0.00015220073954963614
net_return_mean,-0.0028477992604503647
gross_return_median,-0.0018387453521077624
net_return_median,-0.004838745352107762
total_return,-0.2486884330909107
max_drawdown,-0.3176309292820091
per_trade_sharpe,-0.17743437849338628
trades_per_year,112.38586611763397
bar_annualized_sharpe,-19.123442366012945
sharpe,-1.8810208872374532
avg_pred_prob,0.4404402530441682
positive_label_rate,0.4791666666666667
buy_label_rate,0.4166666666666667
selected_by,validation_net_return_mean
selected_quantile,0.95
