prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.2803106,0.9448275862068966,0.00024646949880428886,-0.0006668148477440017
1,1015,0.3126694,0.8926108374384236,0.0005178994271043552,-0.0008580008580008069
2,1015,0.3321162,0.9231527093596059,0.0005875542510971557,-0.0008830022075054789
3,1014,0.3478551,0.9664694280078896,0.0007664652776747425,-0.00025554597342808405
4,1015,0.3623538,0.9793103448275862,0.0012403854837929693,-0.00016265452179564655
5,1015,0.37485522,0.9201970443349754,0.0004631243532585486,-0.0008170602173379615
6,1014,0.38674638,0.9487179487179487,0.000960897246202619,-0.0005810578091109964
7,1015,0.3984322,0.8669950738916257,-0.00044842252500417357,-0.0018618958957338227
8,1015,0.41075328,0.9339901477832512,0.0006898875203469067,-0.000808015513897975
9,1015,0.43289384,0.9714285714285714,0.0016372435172146479,-0.00038376666986472685
