,0
threshold,0.5257501542568207
horizon,1
round_trip_cost,0.003
trade_count,325
win_rate,0.27692307692307694
gross_return_mean,-5.897874144728404e-06
net_return_mean,-0.0030058978741447284
gross_return_median,-0.0001819836214741466
net_return_median,-0.0031819836214741467
total_return,-0.6268679482209111
max_drawdown,-0.6273934313106557
per_trade_sharpe,-0.44523933879907335
trades_per_year,368.5694880170769
bar_annualized_sharpe,-47.98680451276336
sharpe,-8.547777695305198
avg_pred_prob,0.5422542476654053
positive_label_rate,0.6215384615384615
buy_label_rate,0.38461538461538464
selected_by,validation_net_return_mean
selected_quantile,0.95
