feature,split,mean,std,min,max,abs_mean,abs_max,nan_count
ret_1,train,-4.440892098500626e-18,1.0,-5.598413364092113,6.588850831639889,4.440892098500626e-18,6.588850831639889,0
log_ret_1,train,-4.440892098500626e-18,1.0,-5.662857428614604,6.522250137137753,4.440892098500626e-18,6.522250137137753,0
ret_3,train,0.0,1.0,-8.321273118783845,5.63872842727441,0.0,8.321273118783845,0
log_ret_3,train,0.0,1.0,-8.560132937786802,5.531775834146148,0.0,8.560132937786802,0
ret_5,train,0.0,1.0,-7.6459828788266755,5.202472772867293,0.0,7.6459828788266755,0
log_ret_5,train,0.0,1.0,-7.9035284246326185,5.079034436756378,0.0,7.9035284246326185,0
ret_10,train,8.881784197001253e-18,1.0,-6.893710790436219,4.629461934784037,8.881784197001253e-18,6.893710790436219,0
log_ret_10,train,2.6645352591003756e-17,1.0,-7.2114874874551,4.487191382648355,2.6645352591003756e-17,7.2114874874551,0
ret_20,train,0.0,1.0,-4.959385923763036,4.513370703267506,0.0,4.959385923763036,0
log_ret_20,train,0.0,1.0,-5.1983290659368455,4.325725710093861,0.0,5.1983290659368455,0
ret_48,train,0.0,1.0,-3.5268929568407748,4.131959779296226,0.0,4.131959779296226,0
log_ret_48,train,1.7763568394002505e-17,1.0,-3.7223749320631203,3.902476437374409,1.7763568394002505e-17,3.902476437374409,0
ma_dev_5,train,8.881784197001253e-18,0.9999999999999999,-6.905236671894111,5.820718544327457,8.881784197001253e-18,6.905236671894111,0
ma_slope_5,train,1.7763568394002505e-17,0.9999999999999999,-7.956550512893431,5.09138922466235,1.7763568394002505e-17,7.956550512893431,0
ma_dev_10,train,8.881784197001253e-18,0.9999999999999999,-6.626589408249638,4.841086445706542,8.881784197001253e-18,6.626589408249638,0
ma_slope_10,train,0.0,1.0,-7.21756543690886,4.504083402360487,0.0,7.21756543690886,0
ma_dev_20,train,0.0,1.0,-6.117954909458366,4.248265238901337,0.0,6.117954909458366,0
ma_slope_20,train,-1.7763568394002505e-17,1.0,-5.268807472926714,4.301635482432985,1.7763568394002505e-17,5.268807472926714,0
ma_dev_48,train,-1.7763568394002505e-17,0.9999999999999998,-4.5383021357831765,4.134715769560447,1.7763568394002505e-17,4.5383021357831765,0
ma_slope_48,train,3.552713678800501e-17,1.0,-3.871081311626778,3.8202348750529618,3.552713678800501e-17,3.871081311626778,0
ma_gap_5_20,train,0.0,1.0,-6.446801316578878,4.1972181842881975,0.0,6.446801316578878,0
ma_gap_10_48,train,-1.7763568394002505e-17,1.0,-4.628910618103048,3.9611427903950203,1.7763568394002505e-17,4.628910618103048,0
mom_3_10,train,0.0,0.9999999999999998,-4.97154731614907,7.166840961643844,0.0,7.166840961643844,0
mom_5_20,train,1.7763568394002505e-17,1.0,-4.449888419304443,5.864229600629149,1.7763568394002505e-17,5.864229600629149,0
mom_10_48,train,1.7763568394002505e-17,1.0,-4.3550488822188145,3.4388028514859244,1.7763568394002505e-17,4.3550488822188145,0
ret_recent_3,train,-1.7763568394002505e-17,1.0,-8.321273118784234,5.638728427274288,1.7763568394002505e-17,8.321273118784234,0
ret_prev_3,train,-8.881784197001253e-18,1.0,-8.321410596480113,5.640053704256098,8.881784197001253e-18,8.321410596480113,0
ret_prev_6,train,0.0,1.0,-7.3248598591606715,5.352032923320904,0.0,7.3248598591606715,0
