prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.15602574,0.06502463,6.934647211648079e-06,-0.00011633317822234979
1,1015,0.3210667,0.092610836,0.00012401803305396117,-8.87232721141773e-05
2,1015,0.4366424,0.12512316,-7.318049231185576e-06,-0.00021595939963281463
3,1015,0.5171558,0.15369458,2.3077629154913856e-05,-0.00017373175816548514
4,1015,0.5832441,0.14384237,-0.00013414722016969068,-0.00024473813020065016
5,1015,0.6355952,0.2,0.0001941006135315891,-8.771929824569202e-05
6,1015,0.67929596,0.2591133,0.0002122277982260676,0.0
7,1015,0.713508,0.26995075,0.00016723185513543113,-0.00017448961786781236
8,1015,0.74616593,0.28768474,0.000186312149928572,-8.778860503899644e-05
9,1015,0.78901213,0.3359606,0.0005425023741529684,-0.0005665722379603055
