,0
threshold,0.9800456613302231
horizon,3
round_trip_cost,0.003
trade_count,119
win_rate,0.2605042016806723
gross_return_mean,-0.0004498897207225468
net_return_mean,-0.0034498897207225474
gross_return_median,-0.000520639642989873
net_return_median,-0.003520639642989873
total_return,-0.3398309548187166
max_drawdown,-0.332094978723683
per_trade_sharpe,-0.41935697013972684
trades_per_year,155.19853205549424
bar_annualized_sharpe,-45.19726626456327
sharpe,-5.2242947374077
avg_pred_prob,0.9901590242105371
positive_label_rate,0.8823529411764706
selected_by,fixed_validation_buy_probability_quantile
selected_quantile,0.95
