epoch,loss,train_buy_auc,valid_buy_auc,valid_action_acc,valid_buy_prob_mean,valid_buy_prob_max
1,405.0386788845062,0.5300739156049299,0.5049627969358124,0.3404780719083366,0.36211442947387695,0.840879499912262
2,398.3626002073288,0.5296211342218278,0.49953589269346943,0.31973528249703675,0.36541837453842163,0.876384973526001
3,395.9185933470726,0.5269427884795785,0.4940560513219575,0.3159818253654682,0.3669118285179138,0.9234140515327454
4,394.0525652170181,0.5295859732273098,0.5037884223151636,0.32319241406558674,0.38397401571273804,0.9513585567474365
5,392.2308196425438,0.5331060120210127,0.5101363524686993,0.30541288028447255,0.3954085409641266,0.958177924156189
6,390.74332016706467,0.5342290387182904,0.5153535351725977,0.30353615171868825,0.41412487626075745,0.9656959772109985
7,389.3810564875603,0.5327759898923196,0.5141801269020363,0.3036349269063611,0.4134797751903534,0.9752596616744995
8,388.1854190826416,0.5419112446367114,0.5319381532173046,0.31291979454760965,0.4387110471725464,0.9899980425834656
9,386.4770323038101,0.5349734194381871,0.5233280917876082,0.3121295930462268,0.4426268935203552,0.9873840808868408
10,385.2133359313011,0.5443284058819031,0.5313311910844635,0.3145989727380482,0.45403721928596497,0.9934413433074951
11,384.0512375831604,0.5451277813748556,0.533395644843999,0.31291979454760965,0.45628562569618225,0.9942329525947571
12,382.8070755004883,0.5471021182439818,0.5395170012563494,0.3142038719873568,0.46753326058387756,0.9954924583435059
13,381.7144585251808,0.5548906173019854,0.5464754996784176,0.3194389569340182,0.4791993200778961,0.9968307614326477
14,380.27276861667633,0.5555295885875685,0.543329440906608,0.30956143816673254,0.4698105454444885,0.9965962767601013
15,379.37348359823227,0.5557530579255722,0.5433409663991118,0.31025286448044254,0.4771287143230438,0.9985047578811646
16,378.0306477546692,0.5605331155633928,0.5473854243483642,0.31035163966811535,0.4783904254436493,0.9989363551139832
17,376.9586615562439,0.5635866939296317,0.547799022185701,0.30758593441327536,0.48450782895088196,0.998985230922699
18,375.76788407564163,0.5663467640219688,0.5503435398129636,0.3133148952983011,0.4935639798641205,0.9991984963417053
19,374.57482212781906,0.5661077735654418,0.5511720082414107,0.31380877123666534,0.4903738498687744,0.9997163414955139
20,373.4050793647766,0.5703089050719208,0.5568946391799618,0.3147965231133939,0.5066809058189392,0.99962317943573
21,372.5208198428154,0.5725261561381196,0.5548272628006503,0.3125246937969182,0.4928703010082245,0.9997926354408264
22,371.61845940351486,0.5712912398726819,0.554033017307,0.3079810351639668,0.5053092837333679,0.9998225569725037
23,370.3867966532707,0.5750989353181323,0.5581684535815385,0.31430264717502965,0.511361837387085,0.9999442100524902
24,369.3918655514717,0.5744743774549343,0.5537822376746053,0.31242591860924535,0.5038759708404541,0.999908447265625
25,368.75717401504517,0.5734512729728712,0.5525510840939529,0.30620308178585537,0.5070112347602844,0.999984860420227
26,367.6190824508667,0.5780075392161653,0.558426657610945,0.31094429079415253,0.5341254472732544,0.9999823570251465
27,366.6028991341591,0.5781173070001733,0.5598955568825715,0.31380877123666534,0.532721996307373,0.9999957084655762
28,365.74200052022934,0.5784274251442352,0.5574299264197474,0.3118332674832082,0.5067602396011353,0.9999954700469971
29,365.1514401435852,0.5792605675392825,0.557897616292455,0.31153694192018966,0.5167921185493469,0.9999980926513672
30,364.41693103313446,0.573418078863347,0.5512319926553623,0.30491900434610825,0.5131437182426453,0.9999985694885254
31,363.04841339588165,0.5732544786071603,0.5505049202775321,0.30758593441327536,0.5180145502090454,0.9999985694885254
32,361.9378871321678,0.5807441359569391,0.55883910054208,0.30906756222836823,0.5330352783203125,0.9999996423721313
33,361.6934704184532,0.5746203203214743,0.5514068548821232,0.3084749111023311,0.5394341945648193,0.9999997615814209
34,360.65717750787735,0.5735507828665858,0.5498147577591312,0.307882259976294,0.5485730767250061,0.9999998807907104
35,359.7434616088867,0.5788217092502952,0.5552049171286448,0.3098577637297511,0.5521836876869202,1.0
36,358.9119481444359,0.5798115928776556,0.5562066214873647,0.30561043065981824,0.5591900944709778,0.9999997615814209
37,359.12817347049713,0.5781628428951402,0.5529934131692493,0.3114381667325168,0.5558638572692871,1.0
