,0
threshold,0.9776230573654175
horizon,3
round_trip_cost,0.003
trade_count,147
win_rate,0.3333333333333333
gross_return_mean,-1.5399580343760796e-06
net_return_mean,-0.0030015399580343763
gross_return_median,-8.179959100207412e-05
net_return_median,-0.003081799591002074
total_return,-0.3607055746781411
max_drawdown,-0.3608672397790159
per_trade_sharpe,-0.34702309580419616
trades_per_year,188.2590761888529
bar_annualized_sharpe,-37.40129860197467
sharpe,-4.761418351038766
avg_pred_prob,0.9881852046162093
positive_label_rate,0.32653061224489793
buy_label_rate,0.0
selected_by,fixed_validation_buy_probability_quantile
selected_quantile,0.95
