prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1013,0.028464573,0.18361303,-2.4084232519638247e-05,-0.000436871996504995
1,1012,0.07959299,0.18972331,0.00019591502680895597,-0.0003437554448788016
2,1012,0.13270882,0.1986166,8.608538813748824e-05,-0.00038525171968162297
3,1013,0.19442573,0.20631787,0.00021019433376149148,-0.00024410089503656973
4,1012,0.27429205,0.22924902,0.0005698850507183968,-0.00011494977164605569
5,1012,0.3775988,0.22134387,0.00043519818018866117,-0.00013571074925827764
6,1013,0.49628443,0.27936822,0.0008376210225874168,0.00017784101013695874
7,1012,0.6411737,0.24901186,1.5407880062999858e-05,-0.0003550715799975901
8,1012,0.80214834,0.25395256,-2.275313401434373e-05,-0.000661938534278872
9,1013,0.9478579,0.28627837,-0.0004086805337072124,-0.0006419073819348142
