epoch,loss,train_buy_auc,valid_buy_auc,valid_action_acc,valid_buy_prob_mean,valid_buy_prob_max
1,452.6769049167633,0.5679727393707061,0.5323562999709058,0.35391149743184513,0.38197675347328186,0.9236622452735901
2,414.1375500559807,0.5803773726394383,0.5361352944803404,0.3559857763729751,0.38732007145881653,0.9516996145248413
3,400.8268315792084,0.5804473781438634,0.528693149624368,0.3557882259976294,0.38125717639923096,0.9763633012771606
4,394.09941816329956,0.5892765588380418,0.5347095274199245,0.3637890161991308,0.38596341013908386,0.9797796607017517
5,389.7852262854576,0.5897893786890905,0.531602169790633,0.36280126432240223,0.3834652900695801,0.9804226756095886
6,386.26580303907394,0.6010941164967014,0.5343231523716305,0.3650730936388779,0.378613144159317,0.9927385449409485
7,384.1576920747757,0.6045146777137804,0.5364308797594627,0.3652706440142236,0.38288119435310364,0.9958945512771606
8,380.53748339414597,0.6089042824923451,0.533543048586574,0.369122876333465,0.3791933059692383,0.9929965138435364
9,377.6715356707573,0.6152638089568372,0.5333348354970462,0.3658632951402608,0.371012806892395,0.9945024251937866
10,374.9570600390434,0.621968634618793,0.5325167376549012,0.3678387988937179,0.383097767829895,0.9979127049446106
11,372.92167860269547,0.6227894954050491,0.5319477695791484,0.3673449229553536,0.37032467126846313,0.99748295545578
12,368.8905634880066,0.6305239602876538,0.5355062477125786,0.37020940339786645,0.37569406628608704,0.9976534247398376
13,365.07849460840225,0.6342222679535056,0.5382126171946962,0.36339391544843935,0.3840491771697998,0.9995471835136414
14,362.43735706806183,0.6408706802335684,0.5371983738543565,0.36823389964440933,0.38407430052757263,0.9996672868728638
15,357.52568155527115,0.6418136628474819,0.5395650359265394,0.368431450019755,0.3935510218143463,0.9997648596763611
16,354.0988595485687,0.6471398737436798,0.532910112848949,0.373271434215725,0.377898246049881,0.9997971653938293
17,349.910332262516,0.6558428339116131,0.5370469161553182,0.3662583958909522,0.38526269793510437,0.9999264478683472
18,344.56965404748917,0.6648920293582538,0.5377410383521252,0.3662583958909522,0.38406869769096375,0.9999157190322876
19,342.1557293534279,0.6721701914092687,0.5400928987693131,0.36882655077044646,0.38926950097084045,0.9999818801879883
20,337.845750272274,0.6685441848756533,0.533199970736091,0.3610233109442908,0.39828360080718994,0.9999910593032837
21,332.56800585985184,0.6709875407943091,0.5259474190533314,0.3658632951402608,0.3846690058708191,0.9999752044677734
22,327.8679687976837,0.6845481530488554,0.5385814565243338,0.37020940339786645,0.387140691280365,0.9999896287918091
23,324.5243184566498,0.6865349464848147,0.5323692632037833,0.36388779138680366,0.3989979028701782,0.9999946355819702
24,319.9277911186218,0.6923180608647335,0.5347158440497629,0.367740023706045,0.39748942852020264,0.9999977350234985
25,316.35174947977066,0.6986221824634344,0.53653260578328,0.376037139470565,0.40165382623672485,0.9999983310699463
26,311.47292494773865,0.692312775348855,0.5289064537289895,0.3748518372184907,0.3859995901584625,0.9999966621398926
27,306.75159871578217,0.7086817773180223,0.5380253574034013,0.3733702094033979,0.3763279914855957,0.9999988079071045
28,302.55309146642685,0.7097762100764581,0.5341960655504019,0.37159225602528645,0.38866156339645386,0.9999992847442627
29,297.98310339450836,0.7067456782533109,0.5299226769085319,0.37504938759383644,0.3653249442577362,0.9999994039535522
