side,bucket,q_low,q_high,threshold_low,threshold_high,sample_count,sample_ratio,prob_mean,label_positive_rate,gross_return_mean,net_return_mean,net_win_rate,payoff_ratio,positive_net_mean,negative_net_mean
buy,q50_q70,0.5,0.7,0.5656889331686343,0.644069617749133,473,0.19974662162162163,0.604551907725541,0.26004228329809725,-1.8725622809624905e-05,-0.0015187256228096251,0.26004228329809725,0.8476865114870524,0.0024780467498634515,-0.002923305628063307
buy,q70_q80,0.7,0.8,0.644069617749133,0.6873348191006485,237,0.10008445945945946,0.6643105031740126,0.27848101265822783,5.041458667826414e-05,-0.0014495854133217362,0.27848101265822783,0.8472024811925828,0.002529076847766022,-0.002985209443917011
buy,q80_q90,0.8,0.9,0.6873348191006485,0.728143482427642,237,0.10008445945945946,0.7064892361714995,0.22784810126582278,-0.0002894943166144438,-0.0017894943166144443,0.22784810126582278,0.8303108894340526,0.0025487484936418054,-0.00306963153931301
buy,q90_q95,0.9,0.95,0.728143482427642,0.7594598854152599,118,0.04983108108108108,0.7436582093065663,0.2627118644067797,-0.00014525188125034832,-0.0016452518812503487,0.2627118644067797,0.8557285174273108,0.002747217782413641,-0.0032103847499122306
buy,q95_q98,0.95,0.98,0.7594598854152599,0.7880165658173941,71,0.029983108108108107,0.7735149729166236,0.23943661971830985,-0.0003164767625673252,-0.0018164767625673253,0.23943661971830985,0.8154422949080226,0.002620181137156326,-0.003213202397665512
buy,q98_q100,0.98,1.0,0.7880165658173941,0.8145907041211211,48,0.02027027027027027,0.8002158545663661,0.25,-0.00037500000000002115,-0.0018750000000000214,0.25,0.8571428571428398,0.0029999999999999485,-0.003500000000000011
sell,q50_q70,0.5,0.7,0.44127351672242315,0.49134248009352793,473,0.19974662162162163,0.46556880614516477,0.34460887949260044,0.000565805855770486,-0.000934194144229514,0.34460887949260044,0.842199474035989,0.0021546011246057063,-0.0025583026242944856
sell,q70_q80,0.7,0.8,0.49134248009352793,0.5233493579862643,237,0.10008445945945946,0.5067181759899811,0.3037974683544304,0.00029476028457194227,-0.0012052397154280578,0.3037974683544304,0.811085986101702,0.002173322135722418,-0.002679521250475539
sell,q80_q90,0.8,0.9,0.5233493579862643,0.5689048790705269,237,0.10008445945945946,0.5434331092685992,0.3333333333333333,0.0003714596435946798,-0.0011285403564053203,0.3333333333333333,0.8148173616324877,0.002327626762155185,-0.0028566239156855733
sell,q90_q95,0.9,0.95,0.5689048790705269,0.6020909039085848,118,0.04983108108108108,0.5831116835100898,0.3559322033898305,0.00033341048995101863,-0.0011665895100489816,0.3559322033898305,0.7343593485802196,0.002238641297748892,-0.0030484275880425433
sell,q95_q98,0.95,0.98,0.6020909039085848,0.6333916453268885,71,0.029983108108108107,0.6165954091522783,0.4225352112676056,0.0007553786633546176,-0.0007446213366453827,0.4225352112676056,0.792239246296082,0.002430489563322795,-0.0030678732146708788
sell,q98_q100,0.98,1.0,0.6333916453268885,0.724289245268622,48,0.02027027027027027,0.6611811763406696,0.5,0.0013669589953072478,-0.00013304100469275218,0.5,0.9150951279605749,0.002867801865522769,-0.0031338838749082735
