side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.7834316034744346,76,0.5,0.17105263157894737,-0.0004061106032275444,-0.00026248156401242017
buy,0.6,0.8234459107649671,61,0.40131578947368424,0.16393442622950818,-0.0002898486779013158,-0.0001310198468483428
buy,0.7,0.854109624488699,46,0.3026315789473684,0.1956521739130435,0.00021063830724267545,0.0004332551225008858
buy,0.75,0.87397620630131,38,0.25,0.23684210526315788,0.000635386319245812,0.000915758299513508
buy,0.8,0.8943786864277615,31,0.20394736842105263,0.22580645161290322,0.00018861311423412988,0.0005549759291561594
buy,0.85,0.9035092511214238,23,0.1513157894736842,0.21739130434782608,0.0003825182878633064,0.0008588408058766585
buy,0.9,0.926109255381861,16,0.10526315789473684,0.125,-0.0017480565800546966,-0.0010981326605770877
buy,0.95,0.9466745537672169,8,0.05263157894736842,0.125,-0.0026587446464923503,-0.0014279265610910724
sell,0.5,0.3428130375732942,76,0.5,0.42105263157894735,-0.0007444908462952397,-0.0006480320109922847
sell,0.6,0.433372417243349,61,0.40131578947368424,0.4262295081967213,-0.0006487751447864037,-0.0005351119740592228
sell,0.7,0.5044865239171449,46,0.3026315789473684,0.41304347826086957,-0.0007544292285019767,-0.0006309237913476089
sell,0.75,0.5334315499805995,38,0.25,0.47368421052631576,-0.001198510436739829,-0.0011513557191807327
sell,0.8,0.5879899098155779,31,0.20394736842105263,0.5161290322580645,-0.0013579318089598582,-0.0013045352514788817
sell,0.85,0.6366259371308326,23,0.1513157894736842,0.5217391304347826,-0.001564698908577761,-0.0015409450588885524
sell,0.9,0.7190049983489633,16,0.10526315789473684,0.4375,-0.0012133530713611257,-0.001204846230684696
sell,0.95,0.7996785614211601,8,0.05263157894736842,0.125,0.000725470100995329,0.0006908110937013101
