,0
threshold,0.5195572972297668
horizon,1
round_trip_cost,0.003
trade_count,259
win_rate,0.2625482625482625
gross_return_mean,-0.00029483553886387455
net_return_mean,-0.003294835538863875
gross_return_median,-0.0004905968928863302
net_return_median,-0.0034905968928863303
total_return,-0.5774004717346222
max_drawdown,-0.5768620238630231
per_trade_sharpe,-0.46364847439747786
trades_per_year,307.06934911242604
bar_annualized_sharpe,-49.9708960209224
sharpe,-8.124695050912088
avg_pred_prob,0.5353075753767979
positive_label_rate,0.5907335907335908
buy_label_rate,0.3474903474903475
selected_by,validation_net_return_mean
selected_quantile,0.95
