prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1014,0.11062269,0.030571992,5.127148094646609e-05,0.0
1,1013,0.31660548,0.05528134,0.00011227419400261693,0.0
2,1013,0.44678566,0.058242843,-4.472489441863298e-05,-0.00011258725512264256
3,1013,0.5344646,0.074037515,-3.0958093620776466e-06,-0.00015896987520858108
4,1013,0.59971875,0.08588351,-3.593409998018504e-05,-0.0001733552916703962
5,1013,0.6529863,0.14412636,0.000186318146195319,-0.00015126304643786614
6,1013,0.69723856,0.17077987,0.00024069982356561204,0.0
7,1013,0.73487884,0.18065153,-0.00011996536448714769,-0.0001719542601668067
8,1013,0.769655,0.22803554,6.134103232481157e-06,-0.0004011875150444766
9,1014,0.81284744,0.3086785,0.0003999160141952892,-0.00012750648361392614
