epoch,loss,train_auc,valid_auc,valid_prob_mean,valid_prob_max
1,367.94596061110497,0.6094008752009973,0.5848535715878431,0.5769611597061157,0.7550669312477112
2,358.97123032808304,0.6341846398737218,0.595650419760519,0.5580223202705383,0.7335196137428284
3,355.47904404997826,0.6537959053384612,0.5939404856140508,0.5440375208854675,0.7296973466873169
4,350.69469353556633,0.6702401142944918,0.5845018433042716,0.532175600528717,0.7526462078094482
5,345.1396179795265,0.6849650314324994,0.578831313502947,0.5189842581748962,0.800896167755127
6,338.006156206131,0.6996609001215097,0.5655758281862034,0.5015080571174622,0.8499791026115417
7,329.05638867616653,0.7179252921796445,0.5524736418638185,0.4877031743526459,0.8876615762710571
8,320.9076476097107,0.7333379467121721,0.5344064495209638,0.47791770100593567,0.9489498138427734
9,309.3390491604805,0.7552279028290755,0.5245335297418631,0.4781183898448944,0.9737383723258972
10,296.628659427166,0.7812865088042655,0.5105723580544221,0.4727565348148346,0.9759892225265503
11,282.1659574210644,0.8105119548252792,0.5121304100608737,0.46285662055015564,0.9830453395843506
12,264.610807672143,0.8273844763905085,0.503003847340216,0.4657588601112366,0.9897170066833496
