prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median
0,1015,0.40371546,0.25123152,-3.8644587152305317e-05,-0.0008978675645342493
1,1015,0.49597687,0.3004926,0.00036125227947926694,-0.00034997666822211837
2,1015,0.53436923,0.31034482,0.0001291817088301026,-0.00046739892498237623
3,1014,0.55853254,0.33530572,0.0002550612903686831,-0.0002805181269085466
4,1015,0.5769366,0.32315272,-0.0003534579738414019,-0.0008441193021947457
5,1015,0.5928486,0.35665023,0.0016926152569256738,-0.000350877192982435
6,1014,0.6086699,0.37376726,0.0016831461399792413,-0.000573380093568665
7,1015,0.62503403,0.36945814,0.0009108410861577072,-0.0009462976105986121
8,1015,0.64268756,0.33300492,6.399557338640075e-05,-0.0022099447513812542
9,1015,0.6701395,0.40492612,0.001957721005330584,-0.00029848518767250365
