,0
threshold,0.6720125526189804
horizon,12
round_trip_cost,0.003
trade_count,83
win_rate,0.43373493975903615
gross_return_mean,0.002488086337158071
net_return_mean,-0.0005119136628419294
gross_return_median,-0.0017425742574257441
net_return_median,-0.004742574257425744
total_return,-0.06161696458237109
max_drawdown,-0.23946210549667035
per_trade_sharpe,-0.022382740823061558
trades_per_year,97.44021963550327
bar_annualized_sharpe,-2.412356938704398
sharpe,-0.22094409195020254
avg_pred_prob,0.6808526709855321
positive_label_rate,0.43373493975903615
selected_by,validation_net_return_mean
selected_quantile,0.95
